10,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-6.tsp ,9,2,1,81.0528,8.7326,64.6484,2,2.1,25.137,Optimal,,
grubhub-11-7.tsp ,9,2,2,73.563,18.1458,71.6864,1,0.13,20.0224,Optimal,,
grubhub-11-8.tsp ,9,2,1,83.1162,6.1098,54.5284,2,1.16,34.6976,Optimal,,
grubhub-11-9.tsp ,9,2,1,84.4386,12.3846,47.4076,3,0.51,49.4156,Optimal,,
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,71.5852,2,1.14,36.5834,Optimal,,
grubhub-12-3.tsp ,10,2,1,80.3256,13.9616,68.8252,2,1.57,25.462,Optimal,,
grubhub-12-4.tsp ,10,2,1,81.42,10.9736,88.8076,1,0.06,3.586,Optimal,,
grubhub-12-5.tsp ,10,2,1,98.0868,6.5248,70.0028,2,0.35,34.6088,Optimal,,
grubhub-12-6.tsp ,10,2,1,94.5528,14.6256,58.3648,2,0.24,50.8136,Optimal,,
grubhub-12-7.tsp ,10,2,2,94.9176,35.2272,65.9916,3,1.02,64.1532,Optimal,,
grubhub-12-8.tsp ,10,2,2,86.0826,28.0394,63.6088,3,0.63,50.5132,Optimal,,
grubhub-12-9.tsp ,10,2,2,96.696,26.0142,82.2112,2,1.83,40.499,Optimal,,
grubhub-13-0.tsp ,11,2,2,87.5556,18.8928,73.0664,3,1,33.382,Optimal,,
grubhub-13-1.tsp ,11,2,2,103.652,22.1796,87.952,2,1.98,37.88,Optimal,,
grubhub-13-2.tsp ,11,2,2,98.8416,24.5036,76.9856,3,1.92,46.3596,Optimal,,
grubhub-13-3.tsp ,11,2,0,99.2862,0,65.5776,2,1.61,33.7086,Optimal,,
grubhub-13-4.tsp ,11,2,2,98.2032,20.5362,74.7132,2,4.87,44.0262,Optimal,,
grubhub-13-5.tsp ,11,2,2,104.291,23.657,77.28,3,1.9,50.6678,Optimal,,
grubhub-13-6.tsp ,11,2,2,95.7636,28.9856,90.804,3,3.56,33.9452,Optimal,,
grubhub-13-7.tsp ,11,2,2,106.48,16.4028,81.1992,3,26.15,41.6832,Optimal,,
grubhub-13-8.tsp ,11,2,1,103.367,7.5042,72.6708,2,1.82,38.2008,Optimal,,
30,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,8,3,2,92.8608,29.4172,72.8364,3,1.47,49.4416,Optimal,,
grubhub-11-1.tsp ,8,3,3,71.8848,34.9958,74.1428,1,1.45,32.7378,Optimal,,
grubhub-11-2.tsp ,8,3,2,81.1872,30.38,90.666,1,0.72,20.9012,Optimal,,
grubhub-11-3.tsp ,8,3,2,78.7362,25.8648,53.8752,4,1.64,50.7258,Optimal,,
grubhub-11-4.tsp ,8,3,3,71.3376,37.0376,76.314,2,3.43,32.0612,Optimal,,
grubhub-11-5.tsp ,8,3,3,83.1024,39.926,75.6424,3,1.5,47.386,Optimal,,
grubhub-11-6.tsp ,8,3,2,70.0152,22.827,66.9024,2,2.54,25.9398,Optimal,,
grubhub-11-7.tsp ,8,3,2,67.4502,18.1458,61.1064,1,0.21,24.4896,Optimal,,
grubhub-11-8.tsp ,8,3,1,75.852,8.5998,46.8648,2,2.3,37.587,Optimal,,
grubhub-11-9.tsp ,8,3,2,74.256,25.234,49.542,2,1.78,49.948,Optimal,,
grubhub-12-0.tsp ,9,3,3,81.5772,30.215,80.0492,2,5.08,31.743,Optimal,,
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,70.4168,3,2.06,30.116,Optimal,,
grubhub-12-3.tsp ,9,3,2,70.4166,26.4126,66.5252,2,5.45,30.304,Optimal,,
grubhub-12-4.tsp ,9,3,2,70.1544,25.4,92.828,1,0.3,2.7264,Optimal,,
grubhub-12-5.tsp ,9,3,2,85.3506,23.0926,72.6432,2,2.56,35.8,Optimal,,
grubhub-12-6.tsp ,9,3,2,87.414,20.2872,60.8764,2,0.35,46.8248,Optimal,,
grubhub-12-7.tsp ,9,3,2,86.8668,37.02,60.1956,3,3.03,63.6912,Optimal,,
grubhub-12-8.tsp ,9,3,3,73.8822,43.827,68.908,3,2.63,48.8012,Optimal,,
grubhub-12-9.tsp ,9,3,3,84.8832,41.2374,88.0992,2,4.07,38.0214,Optimal,,
grubhub-13-0.tsp ,9,4,1,71.8188,8.5832,53.866,1,1.94,26.536,Optimal,,
grubhub-13-1.tsp ,9,4,4,82.968,48.3432,89.2584,2,12.99,42.0528,Optimal,,
grubhub-13-2.tsp ,9,4,3,82.0332,31.958,66.6908,2,20.44,47.3004,Optimal,,
grubhub-13-3.tsp ,9,4,2,82.056,23.1424,68.54,2,5.35,36.6584,Optimal,,
grubhub-13-4.tsp ,9,4,4,84.051,37.188,74.8144,2,27.96,46.4246,Optimal,,
grubhub-13-5.tsp ,9,4,2,82.9566,30.7784,70.0948,2,4.55,43.6402,Optimal,,
grubhub-13-6.tsp ,9,4,2,76.8576,29.0852,79.0096,3,2.48,26.9332,Optimal,,
grubhub-13-7.tsp ,9,4,3,88.6794,30.464,75.992,3,184.94,43.1514,Optimal,,
grubhub-13-8.tsp ,9,4,3,82.6488,27.8246,68.9172,2,7.33,41.5562,Optimal,,
40,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,7,4,2,81.2076,32.123,63.7652,2,3.44,49.5654,Optimal,,
grubhub-11-1.tsp ,7,4,3,57.9858,34.9958,50.4804,1,0.52,42.5012,Optimal,,
grubhub-11-2.tsp ,7,4,4,69.363,52.8086,113.16,1,3.22,9.0116,Optimal,,
grubhub-11-3.tsp ,7,4,3,68.8386,38.2992,59.5976,4,2.45,47.5402,Optimal,,
grubhub-11-4.tsp ,7,4,4,62.8308,47.4468,75.4308,2,14.13,34.8468,Optimal,,
grubhub-11-5.tsp ,7,4,2,73.182,27.5414,71.8796,1,2.24,28.8438,Optimal,,
grubhub-11-6.tsp ,7,4,2,59.7984,21.8974,67.9328,1,2.53,13.763,Optimal,,
grubhub-11-7.tsp ,7,4,1,60.9156,6.6908,49.4132,1,0.61,18.1932,Optimal,,
grubhub-11-8.tsp ,7,4,2,63.4806,24.6364,46.5796,2,1.54,41.5374,Optimal,,
grubhub-11-9.tsp ,7,4,3,63.2754,39.2454,57.3896,2,5.41,45.1312,Optimal,,
grubhub-12-0.tsp ,7,5,2,64.8714,22.5946,58.2268,2,30.34,29.2392,Optimal,,
grubhub-12-1.tsp ,7,5,4,64.4496,37.5532,74.0048,3,6.69,27.998,Optimal,,
grubhub-12-3.tsp ,7,5,4,58.9548,38.0512,73.2504,1,5.1,23.7556,Optimal,,
grubhub-12-4.tsp ,7,5,3,52.719,32.6054,83.49,1,0.72,1.8344,Optimal,,
grubhub-12-5.tsp ,7,5,4,66.6384,46.3844,73.8576,2,3.89,39.1652,Optimal,,
grubhub-12-6.tsp ,7,5,4,68.4054,44.0106,65.7248,2,3.78,46.6912,Optimal,,
grubhub-12-7.tsp ,7,5,4,72.3612,54.1864,60.1588,3,4.38,66.3888,Optimal,,
grubhub-12-8.tsp ,7,5,3,55.0104,45.487,67.7764,2,3.68,32.721,Optimal,,
grubhub-12-9.tsp ,7,5,4,68.8158,52.3272,88.8812,2,6.53,32.2618,Optimal,,
grubhub-13-0.tsp ,8,5,1,65.364,8.5832,47.104,1,1.6,26.8432,Optimal,,
grubhub-13-1.tsp ,8,5,4,72.147,48.6752,79.304,2,5.6,41.5182,Optimal,,
grubhub-13-2.tsp ,8,5,4,71.8278,45.0232,69.7636,2,2.12,47.0874,Optimal,,
grubhub-13-3.tsp ,8,5,3,72.2838,35.3942,64.8232,2,3.84,42.8548,Optimal,,
grubhub-13-4.tsp ,8,5,5,74.8374,48.6264,82.9472,1,7.43,40.5166,Optimal,,
grubhub-13-5.tsp ,8,5,3,70.1976,47.3794,69.9476,2,26.49,47.6294,Optimal,,
grubhub-13-6.tsp ,8,5,2,65.5806,28.4876,66.8564,3,2.36,27.2118,Optimal,,
grubhub-13-7.tsp ,8,5,5,80.184,48.7592,94.7508,2,261.19,34.1924,Optimal,,
grubhub-13-8.tsp ,8,5,3,74.1534,30.3644,71.484,1,3.86,33.0338,Optimal,,
10,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,10,1,0,115.78,0,69.8372,3,1.22,45.9424,Optimal,,
grubhub-11-1.tsp ,10,1,1,90.8934,11.2724,62.9004,2,0.46,39.2654,Optimal,,
grubhub-11-2.tsp ,10,1,1,99.2952,15.1568,71.1988,2,0.14,43.2532,Optimal,,
grubhub-11-3.tsp ,10,1,1,96.5022,12.5672,58.4568,4,0.58,50.6126,Optimal,,
grubhub-11-4.tsp ,10,1,1,89.913,13.945,69.9016,2,0.47,33.9564,Optimal,,
grubhub-11-5.tsp ,10,1,1,105.953,10.6084,68.3008,3,1.08,48.2604,Optimal,,
grubhub-11-6.tsp ,10,1,1,88.5906,8.7326,62.4864,3,0.59,34.8368,Optimal,,
grubhub-11-7.tsp ,10,1,1,79.5162,11.455,61.9804,2,0.21,28.9908,Optimal,,
grubhub-11-8.tsp ,10,1,0,88.6704,0,55.1264,2,0.37,33.544,Optimal,,
grubhub-11-9.tsp ,10,1,0,94.302,0,46.4876,3,0.04,47.8144,Optimal,,
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,71.8244,3,0.7,35.3154,Optimal,,
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,81.0428,2,1.07,16.3556,Optimal,,
grubhub-12-4.tsp ,11,1,0,90.3144,0,84.042,1,0.01,6.2724,Optimal,,
grubhub-12-5.tsp ,11,1,0,103.926,0,68.7148,2,0.02,35.2112,Optimal,,
grubhub-12-6.tsp ,11,1,1,105.955,5.6616,64.1516,2,0.02,47.4652,Optimal,,
grubhub-12-7.tsp ,11,1,1,115.007,7.9524,59.4412,3,0.17,63.518,Optimal,,
grubhub-12-8.tsp ,11,1,1,98.5338,11.8866,58.466,3,0.08,51.9544,Optimal,,
grubhub-12-9.tsp ,11,1,1,108.418,10.9238,82.708,2,0.02,36.6334,Optimal,,
grubhub-13-0.tsp ,12,1,1,95.994,8.5832,69.7452,3,0.3,34.832,Optimal,,
grubhub-13-1.tsp ,12,1,1,111.008,13.447,84.8148,3,0.8,39.64,Optimal,,
grubhub-13-2.tsp ,12,1,1,108.055,13.0652,76.452,3,1.13,44.6684,Optimal,,
grubhub-13-3.tsp ,12,1,1,107.28,7.471,72.772,2,0.33,41.979,Optimal,,
grubhub-13-4.tsp ,12,1,1,106.55,10.3594,69.8372,2,0.65,47.0726,Optimal,,
grubhub-13-5.tsp ,12,1,1,110.244,16.9662,79.948,3,1.44,47.2622,Optimal,,
grubhub-13-6.tsp ,12,1,1,106.699,15.0406,87.2712,3,0.63,34.468,Optimal,,
grubhub-13-7.tsp ,12,1,1,113.675,7.9026,79.81,3,2.85,41.768,Optimal,,
grubhub-13-8.tsp ,12,1,1,109.879,7.8528,78.3288,2,0.32,39.4032,Optimal,,
20,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,9,2,1,102.656,17.1322,66.4516,3,1.59,53.3364,Optimal,,
grubhub-11-1.tsp ,9,2,2,84.564,18.511,62.7256,2,1.07,40.3494,Optimal,,
grubhub-11-2.tsp ,9,2,2,87.4824,30.38,74.7408,2,0.52,43.1216,Optimal,,
grubhub-11-3.tsp ,9,2,2,86.0118,25.8648,61.41,4,1.98,50.4666,Optimal,,
grubhub-11-4.tsp ,9,2,2,82.8312,22.2792,72.772,2,2.71,32.3384,Optimal,,
grubhub-11-5.tsp ,9,2,2,94.2426,25.6822,69.9568,3,1.79,49.968,Optimal,,
grubhub-11-6.tsp ,9,2,1,81.0528,8.7326,64.6484,2,3.29,25.137,Optimal,,
grubhub-11-7.tsp ,9,2,2,73.563,18.1458,67.62,1,0.22,24.0888,Optimal,,
grubhub-11-8.tsp ,9,2,1,83.1162,6.1098,51.5384,2,1.69,37.6876,Optimal,,
grubhub-11-9.tsp ,9,2,1,84.4386,12.3846,47.4076,3,0.47,49.4156,Optimal,,
grubhub-12-0.tsp ,10,2,2,93.8574,14.3112,71.208,2,1.33,36.9606,Optimal,,
grubhub-12-3.tsp ,10,2,2,80.3256,20.088,74.2164,2,2.46,26.1972,Optimal,,
grubhub-12-4.tsp ,10,2,1,81.42,10.9736,88.8076,1,0.11,3.586,Optimal,,
grubhub-12-5.tsp ,10,2,1,98.0868,6.5248,70.0028,2,0.27,34.6088,Optimal,,
grubhub-12-6.tsp ,10,2,2,94.5528,20.2872,60.1956,2,0.03,54.6444,Optimal,,
grubhub-12-7.tsp ,10,2,2,94.9176,35.2272,65.9916,3,1.54,64.1532,Optimal,,
grubhub-12-8.tsp ,10,2,2,86.0826,28.0394,63.6088,3,0.77,50.5132,Optimal,,
grubhub-12-9.tsp ,10,2,2,96.696,26.0142,75.3112,2,0.31,47.399,Optimal,,
grubhub-13-0.tsp ,11,2,2,87.5556,18.8928,72.6064,3,0.82,33.842,Optimal,,
grubhub-13-1.tsp ,11,2,2,103.652,22.1796,87.952,2,1.98,37.88,Optimal,,
grubhub-13-2.tsp ,11,2,2,98.8416,24.5036,76.9856,3,2.92,46.3596,Optimal,,
grubhub-13-3.tsp ,11,2,1,99.2862,9.6622,74.6948,2,1.76,34.2536,Optimal,,
grubhub-13-4.tsp ,11,2,2,98.2032,20.5362,72.3028,2,4.27,46.4366,Optimal,,
grubhub-13-5.tsp ,11,2,2,104.291,23.657,76.2864,3,2.13,51.6614,Optimal,,
grubhub-13-6.tsp ,11,2,2,95.7636,28.9856,85.4312,3,3.06,39.318,Optimal,,
grubhub-13-7.tsp ,11,2,2,106.48,16.4028,80.5736,3,78.06,42.3088,Optimal,,
grubhub-13-8.tsp ,11,2,1,103.367,7.5042,72.6708,2,2.8,38.2008,Optimal,,
30,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,8,3,2,92.8608,29.4172,71.6128,3,1.49,50.6652,Optimal,,
grubhub-11-1.tsp ,8,3,3,71.8848,34.9958,74.1428,1,1.22,32.7378,Optimal,,
grubhub-11-2.tsp ,8,3,2,81.1872,30.38,90.6016,1,0.85,20.9656,Optimal,,
grubhub-11-3.tsp ,8,3,2,78.7362,25.8648,53.8752,4,1.2,50.7258,Optimal,,
grubhub-11-4.tsp ,8,3,3,71.3376,37.0376,73.1032,2,1.9,35.272,Optimal,,
grubhub-11-5.tsp ,8,3,3,83.1024,39.926,75.6424,3,1.27,47.386,Optimal,,
grubhub-11-6.tsp ,8,3,2,70.0152,22.827,66.9024,2,2.7,25.9398,Optimal,,
grubhub-11-7.tsp ,8,3,2,67.4502,18.1458,61.1064,1,0.43,24.4896,Optimal,,
grubhub-11-8.tsp ,8,3,2,75.852,14.7096,51.0324,2,1.51,39.5292,Optimal,,
grubhub-11-9.tsp ,8,3,2,74.256,25.234,46.9108,2,1.39,52.5792,Optimal,,
grubhub-12-0.tsp ,9,3,3,81.5772,30.215,76.5624,2,5.54,35.2298,Optimal,,
grubhub-12-1.tsp ,9,3,2,76.3446,24.1882,70.4168,3,1.94,30.116,Optimal,,
grubhub-12-3.tsp ,9,3,3,70.4166,32.539,71.9164,2,7.25,31.0392,Optimal,,
grubhub-12-4.tsp ,9,3,2,70.1544,25.4,92.828,1,0.3,2.7264,Optimal,,
grubhub-12-5.tsp ,9,3,2,85.3506,23.0926,69.2944,2,1.45,39.1488,Optimal,,
grubhub-12-6.tsp ,9,3,2,87.414,20.2872,57.3528,2,0.14,50.3484,Optimal,,
grubhub-12-7.tsp ,9,3,2,86.8668,37.02,60.1956,3,3.57,63.6912,Optimal,,
grubhub-12-8.tsp ,9,3,3,73.8822,43.827,68.908,3,2.67,48.8012,Optimal,,
grubhub-12-9.tsp ,9,3,3,84.8832,41.2374,81.8984,2,1.8,44.2222,Optimal,,
grubhub-13-0.tsp ,9,4,2,71.8188,18.8928,63.0292,1,2.63,27.6824,Optimal,,
grubhub-13-1.tsp ,9,4,3,82.968,39.6106,80.2792,2,12.11,42.2994,Optimal,,
grubhub-13-2.tsp ,9,4,3,82.0332,31.958,66.148,2,15.27,47.8432,Optimal,,
grubhub-13-3.tsp ,9,4,2,82.056,23.1424,68.54,2,10.47,36.6584,Optimal,,
grubhub-13-4.tsp ,9,4,4,84.051,37.188,73.4896,2,29.49,47.7494,Optimal,,
grubhub-13-5.tsp ,9,4,2,82.9566,30.7784,70.0948,2,3.93,43.6402,Optimal,,
grubhub-13-6.tsp ,9,4,2,76.8576,29.0852,77.2984,3,2.47,28.6444,Optimal,,
grubhub-13-7.tsp ,9,4,4,88.6794,38.3666,82.9012,3,124.15,44.1448,Optimal,,
grubhub-13-8.tsp ,9,4,3,82.6488,33.7176,72.3212,2,9.02,44.0452,Optimal,,
40,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,7,4,3,81.2076,44.408,74.704,2,3.01,50.9116,Optimal,,
grubhub-11-1.tsp ,7,4,3,57.9858,34.9958,50.4804,1,0.36,42.5012,Optimal,,
grubhub-11-2.tsp ,7,4,3,69.363,45.6198,99.452,1,3.16,15.5308,Optimal,,
grubhub-11-3.tsp ,7,4,3,68.8386,38.2992,59.5976,4,5.87,47.5402,Optimal,,
grubhub-11-4.tsp ,7,4,3,62.8308,32.6884,58.6132,2,5.18,36.906,Optimal,,
grubhub-11-5.tsp ,7,4,3,73.182,41.7852,82.57,1,1.8,32.3972,Optimal,,
grubhub-11-6.tsp ,7,4,2,59.7984,21.8974,67.9328,1,2.55,13.763,Optimal,,
grubhub-11-7.tsp ,7,4,1,60.9156,6.6908,47.2328,1,0.63,20.3736,Optimal,,
grubhub-11-8.tsp ,7,4,2,63.4806,24.6364,46.5796,2,2.35,41.5374,Optimal,,
grubhub-11-9.tsp ,7,4,3,63.2754,39.2454,57.3896,2,12.59,45.1312,Optimal,,
grubhub-12-0.tsp ,7,5,3,64.8714,30.215,63.3236,2,17.22,31.7628,Optimal,,
grubhub-12-1.tsp ,7,5,4,64.4496,37.5532,74.0048,3,3.33,27.998,Optimal,,
grubhub-12-3.tsp ,7,5,4,58.9548,38.0512,71.99,1,4.86,25.016,Optimal,,
grubhub-12-4.tsp ,7,5,3,52.719,32.6054,83.49,1,1.4,1.8344,Optimal,,
grubhub-12-5.tsp ,7,5,4,66.6384,46.3844,73.8576,2,5.55,39.1652,Optimal,,
grubhub-12-6.tsp ,7,5,4,68.4054,44.0106,62.8176,2,1.98,49.5984,Optimal,,
grubhub-12-7.tsp ,7,5,4,72.3612,54.1864,60.1588,3,2.85,66.3888,Optimal,,
grubhub-12-8.tsp ,7,5,3,55.0104,45.487,65.3844,2,2.03,35.113,Optimal,,
grubhub-12-9.tsp ,7,5,3,68.8158,41.2374,75.532,2,16.03,34.5212,Optimal,,
grubhub-13-0.tsp ,8,5,1,65.364,10.3096,46.1932,1,1.65,29.4804,Optimal,,
grubhub-13-1.tsp ,8,5,4,72.147,48.6752,79.304,2,7.96,41.5182,Optimal,,
grubhub-13-2.tsp ,8,5,4,71.8278,45.0232,69.6072,2,2.22,47.2438,Optimal,,
grubhub-13-3.tsp ,8,5,3,72.2838,35.3942,64.8232,2,3.63,42.8548,Optimal,,
grubhub-13-4.tsp ,8,5,5,74.8374,48.6264,76.0012,1,3.01,47.4626,Optimal,,
grubhub-13-5.tsp ,8,5,3,70.1976,47.3794,68.6044,2,15.76,48.9726,Optimal,,
grubhub-13-6.tsp ,8,5,3,65.5806,43.5282,80.776,3,3.45,28.3328,Optimal,,
grubhub-13-7.tsp ,8,5,4,80.184,41.2882,87.0412,2,344.42,34.431,Optimal,,
grubhub-13-8.tsp ,8,5,3,74.1534,36.606,75.2192,1,4.16,35.5402,Optimal,,
10,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,10,1,0,115.78,0,69.8372,3,1.32,45.9424,Optimal,,
grubhub-11-1.tsp ,10,1,1,90.8934,11.2724,66.3044,2,0.27,35.8614,Optimal,,
grubhub-11-2.tsp ,10,1,1,99.2952,15.1568,71.1988,2,0.14,43.2532,Optimal,,
grubhub-11-3.tsp ,10,1,1,96.5022,12.5672,58.4568,4,0.78,50.6126,Optimal,,
grubhub-11-4.tsp ,10,1,1,89.913,13.945,69.9016,2,0.34,33.9564,Optimal,,
grubhub-11-5.tsp ,10,1,1,105.953,10.6084,68.3008,3,0.66,48.2604,Optimal,,
grubhub-11-6.tsp ,10,1,1,88.5906,8.7326,62.4864,3,0.66,34.8368,Optimal,,
grubhub-11-7.tsp ,10,1,1,79.5162,11.455,64.2988,2,0.15,26.6724,Optimal,,
grubhub-11-8.tsp ,10,1,0,88.6704,0,55.1264,2,0.35,33.544,Optimal,,
grubhub-11-9.tsp ,10,1,0,94.302,0,46.4876,3,0.02,47.8144,Optimal,,
grubhub-12-0.tsp ,11,1,1,100.449,6.6908,71.8244,3,0.57,35.3154,Optimal,,
grubhub-12-3.tsp ,11,1,1,91.272,6.1264,81.0428,2,1.4,16.3556,Optimal,,
grubhub-12-4.tsp ,11,1,0,90.3144,0,84.042,1,0.01,6.2724,Optimal,,
grubhub-12-5.tsp ,11,1,0,103.926,0,68.7148,2,0.02,35.2112,Optimal,,
grubhub-12-6.tsp ,11,1,0,105.955,0,62.6152,2,0.24,43.34,Optimal,,
grubhub-12-7.tsp ,11,1,1,115.007,7.9524,59.4412,3,0.28,63.518,Optimal,,
grubhub-12-8.tsp ,11,1,1,98.5338,11.8866,59.662,3,0.15,50.7584,Optimal,,
grubhub-12-9.tsp ,11,1,1,108.418,10.9238,85.2932,2,0.3,34.0482,Optimal,,
grubhub-13-0.tsp ,12,1,1,95.994,8.5832,70.2052,3,0.21,34.372,Optimal,,
grubhub-13-1.tsp ,12,1,1,111.008,13.447,84.8148,3,1.32,39.64,Optimal,,
grubhub-13-2.tsp ,12,1,1,108.055,13.0652,76.452,3,1.34,44.6684,Optimal,,
grubhub-13-3.tsp ,12,1,1,107.28,7.471,72.772,2,0.26,41.979,Optimal,,
grubhub-13-4.tsp ,12,1,1,106.55,10.3594,69.8372,2,0.76,47.0726,Optimal,,
grubhub-13-5.tsp ,12,1,1,110.244,16.9662,80.9416,3,1.04,46.2686,Optimal,,
grubhub-13-6.tsp ,12,1,1,106.699,15.0406,90.4912,3,1.12,31.248,Optimal,,
grubhub-13-7.tsp ,12,1,1,113.675,7.9026,79.81,3,2.91,41.768,Optimal,,
grubhub-13-8.tsp ,12,1,1,109.879,7.8528,78.3288,2,0.35,39.4032,Optimal,,
20,,,,,,,,,,,,
Instance,n,m,served,prof Customer,prof Parcel,costs,K,Sol Time,Sol Val,sol Stat,,
grubhub-11-0.tsp ,9,2,1,102.656,17.1322,67.574,3,3.57,52.214,Optimal,,
grubhub-11-1.tsp ,9,2,2,84.564,18.511,64.9704,2,2.28,38.1046,Optimal,,
grubhub-11-2.tsp ,9,2,2,87.4824,30.38,74.9524,2,1.29,42.91,Optimal,,
grubhub-11-3.tsp ,9,2,2,86.0118,25.8648,61.41,4,1.5,50.4666,Optimal,,
grubhub-11-4.tsp ,9,2,2,82.8312,22.2792,72.772,2,3.16,32.3384,Optimal,,
grubhub-11-5.tsp ,9,2,2,94.2426,25.6822,69.9568,3,1.41,49.968,Optimal,,
grubhub-11-6.tsp ,9,2,2,81.0528,17.7308,71.4196,2,2.45,27.364,Optimal,,
grubhub-11-7.tsp ,9,2,2,73.563,18.1458,71.6864,1,0.3,20.0224,Optimal,,
grubhub-11-8.tsp ,9,2,1,83.1162,6.1098,54.5284,2,2.09,34.6976,Optimal,,
grubhub-11-9.tsp ,9,2,1,84.4386,12.3846,47.4076,3,0.54,49.4156,Optimal,,
