Row,standardMIP,BCP
sarp-40-20-C-1V3,32,0
ghsarp-6-3-4,0,0
sarp-50-25-C-2V2,20,255
sfsarp-30-15-3,11,255
sfsarp-40-20-1V1,52,0
sarp-50-25-B-2V1,16,17
sarp-20-10-A-1V2,0,0
sarp-20-10-C-1,0,0
sfsarp-30-15-4V1,7,0
sarp-12-6-B-1,0,0
sarp-40-20-C-2V1,24,1
sarp-12-6-C-2,0,0
sfsarp-6-3-1,0,0
sfsarp-8-4-3,0,0
sfsarp-10-5-4,0,0
sarp-50-25-B-2V2,45,255
sarp-60-30-B-1V3,13,0
sarp-60-30-A-1V3,0,0
sarp-20-10-C-1V2,10,0
sarp-50-25-C-2V1,19,255
sfsarp-10-5-1,0,0
sfsarp-40-20-4V1,21,0
ghsarp-10-5-1,0,0
sarp-30-15-B-2V3,0,0
sarp-20-10-A-1V1,0,0
sfsarp-6-3-4,0,0
sarp-40-20-C-2V2,36,255
sarp-8-4-A-1,0,0
sarp-16-8-C-2V2,0,0
