Row,standardMIP,BCP
sarp-40-20-B-2,18.61,100
sfsarp-20-10-4V1,0.11,0.12
sfsarp-16-8-4,0.09,0
sarp-30-15-A-1V2,0,0
sfsarp-10-5-3,0,0
sfsarp-50-25-5V1,6.73,100
sarp-20-10-B-1,0,0
sarp-40-20-C-2,10.51,100
sarp-60-30-C-2V3,13.14,0.04
sarp-20-10-C-2V1,0,0
sarp-30-15-B-1V2,0,0
sfsarp-30-15-4,9.79,100
sarp-16-8-A-1V2,0,0
sarp-50-25-B-2V3,9.38,0
sfsarp-10-5-5,0,0
sarp-16-8-B-1V3,0,0
ghsarp-6-3-1,0,0
sfsarp-20-10-5V1,0.12,0
sarp-40-20-C-2V3,22.7,0.06
sarp-40-20-A-1,12.04,100
sarp-40-20-B-2V2,24.36,100
sarp-50-25-A-1V1,9.19,0
ghsarp-10-5-4,0,0
sfsarp-40-20-3V1,8.28,0.08
sarp-30-15-A-1,21.21,100
sarp-40-20-B-2V3,14.67,0
sarp-16-8-C-2V1,0,0
sarp-20-10-A-1V3,0,0
sarp-20-10-C-2,4.49,0
sarp-16-8-B-1V2,0,0
sarp-16-8-B-1V1,3.22,3.33
sarp-8-4-C-1,0,0
sarp-30-15-C-1V2,14.44,0
sarp-50-25-A-1V3,0,0
sfsarp-40-20-5V1,4.29,0
sfsarp-16-8-5,0.06,0
ghsarp-8-4-4,0,0
sfsarp-20-10-1V1,0.09,0
sarp-20-10-C-1V1,0,0
sarp-30-15-C-1,7.64,100
sfsarp-6-3-5,0,0
sarp-50-25-C-1V2,8.87,100
sarp-6-3-A-1,0,0
sarp-20-10-C-2V2,0,0
sarp-16-8-A-1V1,0,0
sarp-20-10-B-1V2,0,0
sfsarp-6-3-2,0,0
sfsarp-30-15-2,4.18,100
sarp-30-15-B-2V1,0,0
sarp-50-25-A-2V3,0,0
sarp-60-30-C-1V3,12.39,0.06
sarp-40-20-C-1,12.63,100
sarp-20-10-A-2V2,0,0
sfsarp-20-10-2,0,0
sarp-20-10-B-2V1,0,0
ghsarp-8-4-2,0,0
sfsarp-30-15-2V1,3.27,0
sarp-8-4-A-2,0,0
sarp-30-15-C-1V1,3.13,0
sfsarp-40-20-3,8.12,100
ghsarp-8-4-0,0,0
sarp-40-20-A-2,18.94,100
sarp-40-20-B-1V2,19.45,100
ghsarp-12-6-2,0,0
sfsarp-16-8-2,0.07,0
sarp-50-25-C-1V3,12.92,0
sfsarp-40-20-1,24.73,100
sarp-16-8-A-2,0,0
sarp-6-3-B-1,0,0
ghsarp-8-4-1,0,0
sarp-12-6-A-2,0,0
sfsarp-20-10-2V1,0.04,0
sfsarp-12-6-3,0,0
sarp-8-4-C-2,0,0
sarp-10-5-A-2,0,0
sarp-50-25-C-1V1,9.3,0.24
sarp-20-10-A-1,0,0
sarp-50-25-B-1V3,0,0
sarp-40-20-A-2V2,14.89,100
sfsarp-20-10-3,0.07,0
sarp-40-20-B-1,25.67,100
sarp-16-8-A-2V3,0,0
ghsarp-6-3-3,0,0
sfsarp-20-10-5,6.56,0
sarp-30-15-B-2,25.48,100
sfsarp-8-4-5,0,0
sarp-30-15-C-2V2,11.78,0.14
sarp-16-8-B-2,0,0
sfsarp-30-15-5V1,0.01,0
sarp-10-5-C-1,0,0
sarp-40-20-C-1V3,12.43,0
ghsarp-6-3-4,0,0
sarp-50-25-C-2V2,7.77,100
sfsarp-30-15-3,4.18,100
sfsarp-40-20-1V1,20.52,0.05
sarp-50-25-B-2V1,6.36,6.48
sarp-20-10-A-1V2,0,0
sarp-20-10-C-1,0,0
sfsarp-30-15-4V1,2.88,0
sarp-12-6-B-1,0,0
sarp-40-20-C-2V1,9.46,0.48
sarp-12-6-C-2,0,0
sfsarp-6-3-1,0,0
sfsarp-8-4-3,0,0
sfsarp-10-5-4,0,0
sarp-50-25-B-2V2,17.58,100
sarp-60-30-B-1V3,4.91,0
sarp-60-30-A-1V3,0,0
sarp-20-10-C-1V2,3.81,0
sarp-50-25-C-2V1,7.58,100
sfsarp-10-5-1,0,0
sfsarp-40-20-4V1,8.4,0.08
ghsarp-10-5-1,0,0
sarp-30-15-B-2V3,0,0
sarp-20-10-A-1V1,0,0
sfsarp-6-3-4,0,0
sarp-40-20-C-2V2,14.06,100
sarp-8-4-A-1,0,0
sarp-16-8-C-2V2,0,0
