Row,IsBetaEasy
sarp-12-6-A-1,1
sfsarp-8-4-4,1
sarp-40-20-C-1V2,0
ghsarp-12-6-4,1
sarp-30-15-A-2V3,1
sarp-30-15-C-2,0
sfsarp-8-4-2,1
sarp-60-30-A-2V3,1
sarp-40-20-C-1V1,0
sarp-30-15-B-1,0
sfsarp-40-20-4,0
sfsarp-16-8-3,0
ghsarp-12-6-1,1
sarp-30-15-C-2V3,0
sarp-12-6-C-1,1
sarp-30-15-B-1V1,1
sarp-10-5-A-1,1
sarp-40-20-B-2,0
sfsarp-20-10-4V1,0
sfsarp-16-8-4,0
sarp-30-15-A-1V2,1
sfsarp-10-5-3,1
sfsarp-50-25-5V1,0
sarp-20-10-B-1,1
sarp-40-20-C-2,0
sarp-60-30-C-2V3,0
sarp-20-10-C-2V1,1
sarp-30-15-B-1V2,1
sfsarp-30-15-4,0
sarp-16-8-A-1V2,1
sarp-50-25-B-2V3,0
sfsarp-10-5-5,1
sarp-16-8-B-1V3,1
ghsarp-6-3-1,1
sfsarp-20-10-5V1,0
sarp-40-20-C-2V3,0
sarp-40-20-A-1,0
sarp-40-20-B-2V2,0
sarp-50-25-A-1V1,0
ghsarp-10-5-4,1
sfsarp-40-20-3V1,0
sarp-30-15-A-1,0
sarp-40-20-B-2V3,0
sarp-16-8-C-2V1,1
sarp-20-10-A-1V3,1
sarp-20-10-C-2,0
sarp-16-8-B-1V2,1
sarp-16-8-B-1V1,0
sarp-8-4-C-1,1
sarp-30-15-C-1V2,0
sarp-50-25-A-1V3,1
sfsarp-40-20-5V1,0
sfsarp-16-8-5,0
ghsarp-8-4-4,1
sfsarp-20-10-1V1,0
sarp-20-10-C-1V1,1
sarp-30-15-C-1,0
sfsarp-6-3-5,1
sarp-50-25-C-1V2,0
sarp-6-3-A-1,1
sarp-20-10-C-2V2,1
sarp-16-8-A-1V1,1
sarp-20-10-B-1V2,1
sfsarp-6-3-2,1
sfsarp-30-15-2,0
sarp-30-15-B-2V1,1
sarp-50-25-A-2V3,1
sarp-60-30-C-1V3,0
sarp-40-20-C-1,0
sarp-20-10-A-2V2,1
sfsarp-20-10-2,1
sarp-20-10-B-2V1,1
ghsarp-8-4-2,1
sfsarp-30-15-2V1,0
sarp-8-4-A-2,1
sarp-30-15-C-1V1,0
sfsarp-40-20-3,0
ghsarp-8-4-0,1
sarp-40-20-A-2,0
sarp-40-20-B-1V2,0
ghsarp-12-6-2,1
sfsarp-16-8-2,0
sarp-50-25-C-1V3,0
sfsarp-40-20-1,0
sarp-16-8-A-2,1
sarp-6-3-B-1,1
ghsarp-8-4-1,1
sarp-12-6-A-2,1
sfsarp-20-10-2V1,0
sfsarp-12-6-3,1
sarp-8-4-C-2,1
sarp-10-5-A-2,1
sarp-50-25-C-1V1,0
sarp-20-10-A-1,1
sarp-50-25-B-1V3,1
sarp-40-20-A-2V2,0
sfsarp-20-10-3,0
sarp-40-20-B-1,0
sarp-16-8-A-2V3,1
ghsarp-6-3-3,1
sfsarp-20-10-5,0
sarp-30-15-B-2,0
sfsarp-8-4-5,1
sarp-30-15-C-2V2,0
sarp-16-8-B-2,1
sfsarp-30-15-5V1,1
sarp-10-5-C-1,1
sarp-40-20-C-1V3,0
ghsarp-6-3-4,1
sarp-50-25-C-2V2,0
sfsarp-30-15-3,0
sfsarp-40-20-1V1,0
sarp-50-25-B-2V1,0
sarp-20-10-A-1V2,1
sarp-20-10-C-1,1
sfsarp-30-15-4V1,0
sarp-12-6-B-1,1
sarp-40-20-C-2V1,0
sarp-12-6-C-2,1
sfsarp-6-3-1,1
sfsarp-8-4-3,1
sfsarp-10-5-4,1
sarp-50-25-B-2V2,0
sarp-60-30-B-1V3,0
sarp-60-30-A-1V3,1
sarp-20-10-C-1V2,0
sarp-50-25-C-2V1,0
sfsarp-10-5-1,1
sfsarp-40-20-4V1,0
ghsarp-10-5-1,1
sarp-30-15-B-2V3,1
sarp-20-10-A-1V1,1
sfsarp-6-3-4,1
sarp-40-20-C-2V2,0
sarp-8-4-A-1,1
sarp-16-8-C-2V2,1
