Row,V,avgReqPerVehicle,TWEntropy
sarp-40-20-C-1V2,203,98,214
ghsarp-12-6-4,78,135,68
sarp-30-15-A-2V3,170,122,124
sarp-30-15-C-2,170,228,196
sfsarp-8-4-2,38,54,15
sarp-60-30-A-2V3,255,98,241
sarp-40-20-C-1V1,203,255,255
sarp-30-15-B-1,170,228,213
sfsarp-40-20-4,203,255,218
sfsarp-16-8-3,105,199,111
ghsarp-12-6-1,78,135,105
sarp-30-15-C-2V3,170,122,146
sarp-12-6-C-1,78,135,73
sarp-30-15-B-1V1,170,228,213
sarp-10-5-A-1,61,98,77
sarp-40-20-B-2,203,255,196
sfsarp-20-10-4V1,127,184,114
sfsarp-16-8-4,105,199,102
sarp-30-15-A-1V2,170,122,202
sfsarp-10-5-3,61,98,57
sfsarp-50-25-5V1,231,209,193
sarp-20-10-B-1,127,255,166
sarp-40-20-C-2,203,184,222
sarp-60-30-C-2V3,255,98,243
sarp-20-10-C-2V1,127,135,132
sarp-30-15-B-1V2,170,122,181
sfsarp-30-15-4,170,228,189
sarp-16-8-A-1V2,105,54,117
sarp-50-25-B-2V3,231,144,242
sfsarp-10-5-5,61,98,57
sarp-16-8-B-1V3,105,54,101
ghsarp-6-3-1,0,0,31
sfsarp-20-10-5V1,127,255,141
sarp-40-20-C-2V3,203,135,244
sarp-40-20-A-1,203,255,214
sarp-40-20-B-2V2,203,135,202
sarp-50-25-A-1V1,231,238,231
ghsarp-10-5-4,61,98,78
sfsarp-40-20-3V1,203,216,163
sarp-30-15-A-1,170,228,192
sarp-40-20-B-2V3,203,135,202
sarp-16-8-C-2V1,105,199,114
sarp-20-10-A-1V3,127,98,157
sarp-20-10-C-2,127,135,132
sarp-16-8-B-1V2,105,54,101
sarp-16-8-B-1V1,105,199,108
sarp-8-4-C-1,38,54,47
sarp-30-15-C-1V2,170,77,206
sarp-50-25-A-1V3,231,144,236
sfsarp-40-20-5V1,203,216,210
sfsarp-16-8-5,105,199,95
ghsarp-8-4-4,38,54,32
sfsarp-20-10-1V1,127,184,134
sarp-20-10-C-1V1,127,184,165
sarp-30-15-C-1,170,184,156
sfsarp-6-3-5,0,0,6
sarp-50-25-C-1V2,231,85,229
sarp-6-3-A-1,0,0,26
sarp-20-10-C-2V2,127,42,117
sarp-16-8-A-1V1,105,199,135
sarp-20-10-B-1V2,127,98,106
sfsarp-6-3-2,0,0,23
sfsarp-30-15-2,170,184,134
sarp-30-15-B-2V1,170,228,201
sarp-50-25-A-2V3,231,144,243
sarp-60-30-C-1V3,255,98,223
sarp-40-20-C-1,203,255,255
sarp-20-10-A-2V2,127,98,115
sfsarp-20-10-2,127,184,111
sarp-20-10-B-2V1,127,255,164
ghsarp-8-4-2,38,54,63
sfsarp-30-15-2V1,170,184,134
sarp-8-4-A-2,38,54,23
sarp-30-15-C-1V1,170,184,156
sfsarp-40-20-3,203,216,163
ghsarp-8-4-0,38,54,82
sarp-40-20-A-2,203,255,198
sarp-40-20-B-1V2,203,98,197
ghsarp-12-6-2,78,135,131
sfsarp-16-8-2,105,199,152
sarp-50-25-C-1V3,231,85,229
sfsarp-40-20-1,203,216,230
sarp-16-8-A-2,105,199,109
sarp-6-3-B-1,0,0,23
ghsarp-8-4-1,38,54,51
sarp-12-6-A-2,78,135,44
sfsarp-20-10-2V1,127,184,111
sfsarp-12-6-3,78,135,54
sarp-8-4-C-2,38,54,67
sarp-10-5-A-2,61,98,88
sarp-50-25-C-1V1,231,209,219
sarp-20-10-A-1,127,255,124
sarp-50-25-B-1V3,231,144,231
sarp-40-20-A-2V2,203,135,203
sfsarp-20-10-3,127,255,159
sarp-40-20-B-1,203,255,218
sarp-16-8-A-2V3,105,54,122
ghsarp-6-3-3,0,0,28
sfsarp-20-10-5,127,255,141
sarp-30-15-B-2,170,228,201
sfsarp-8-4-5,38,54,32
sarp-30-15-C-2V2,170,122,146
sarp-16-8-B-2,105,199,83
sfsarp-30-15-5V1,170,228,181
sarp-10-5-C-1,61,98,88
sarp-40-20-C-1V3,203,98,214
ghsarp-6-3-4,0,0,23
sarp-50-25-C-2V2,231,85,227
sfsarp-30-15-3,170,184,165
sfsarp-40-20-1V1,203,216,230
sarp-50-25-B-2V1,231,238,254
sarp-20-10-A-1V2,127,98,157
sarp-20-10-C-1,127,184,165
sfsarp-30-15-4V1,170,228,189
sarp-12-6-B-1,78,135,81
sarp-40-20-C-2V1,203,184,222
sarp-12-6-C-2,78,135,64
sfsarp-6-3-1,0,0,23
sfsarp-8-4-3,38,54,47
sfsarp-10-5-4,61,98,69
sarp-50-25-B-2V2,231,144,242
sarp-60-30-B-1V3,255,98,237
sarp-60-30-A-1V3,255,98,253
sarp-20-10-C-1V2,127,68,139
sarp-50-25-C-2V1,231,184,228
sfsarp-10-5-1,61,98,48
sfsarp-40-20-4V1,203,255,218
ghsarp-10-5-1,61,98,85
sarp-30-15-B-2V3,170,98,175
sarp-20-10-A-1V1,127,255,124
sfsarp-6-3-4,0,0,23
sarp-40-20-C-2V2,203,135,244
sarp-8-4-A-1,38,54,58
sarp-16-8-C-2V2,105,54,119
