Row,V,avgReqPerVehicle,TWEntropy
sarp-16-8-A-1V3,24,4,0.79347
sarp-16-8-B-2V3,24,4,0.81248
sarp-20-10-A-2V3,30,5,0.79127
sarp-10-5-B-1,15,5,0.77169
ghsarp-10-5-0,15,5,0.79982
sarp-16-8-C-1V3,24,4,0.77639
sfsarp-20-10-1,30,7.5,0.81427
sarp-30-15-C-2V1,45,9,0.87693
sarp-12-6-B-2,18,6,0.71164
sfsarp-8-4-1,12,4,0.58735
sarp-50-25-B-1V2,75,6.25,0.90697
sfsarp-30-15-1,45,9,0.8689
sfsarp-12-6-4,18,6,0.73316
sarp-30-15-B-2V2,45,5,0.85748
sarp-10-5-B-2,15,5,0.59595
sarp-60-30-B-2V3,90,5,0.89874
sarp-30-15-A-1V1,45,9,0.87328
sfsarp-40-20-5,60,8.57143,0.88916
sfsarp-50-25-2V1,75,9.375,0.88113
sfsarp-10-5-2,15,5,0.70267
sarp-16-8-C-2V3,24,4,0.79682
sfsarp-50-25-4V1,75,8.33333,0.8801
sarp-20-10-B-2,30,10,0.84642
sfsarp-20-10-4,30,7.5,0.79064
sarp-30-15-A-2V2,45,5.625,0.80235
sfsarp-12-6-2,18,6,0.7207
sarp-40-20-A-2V3,60,6,0.8829
sarp-16-8-A-1,24,8,0.81543
sarp-6-3-A-2,9,3,0.559
sarp-50-25-C-2V3,75,4.6875,0.90337
sarp-40-20-A-1V1,60,10,0.89298
sarp-50-25-A-2V2,75,6.25,0.91645
sarp-12-6-A-1,18,6,0.75682
sfsarp-8-4-4,12,4,0.69312
sarp-40-20-C-1V2,60,5,0.89273
ghsarp-12-6-4,18,6,0.7236
sarp-30-15-A-2V3,45,5.625,0.80235
sarp-30-15-C-2,45,9,0.87693
sfsarp-8-4-2,12,4,0.60813
sarp-60-30-A-2V3,90,5,0.91447
sarp-40-20-C-1V1,60,10,0.92519
sarp-30-15-B-1,45,9,0.89211
sfsarp-40-20-4,60,10,0.89624
sfsarp-16-8-3,24,8,0.78668
ghsarp-12-6-1,18,6,0.77821
sarp-30-15-C-2V3,45,5.625,0.8273
sarp-12-6-C-1,18,6,0.732
sarp-30-15-B-1V1,45,9,0.89211
sarp-10-5-A-1,15,5,0.73718
sarp-40-20-B-2,60,10,0.87726
sfsarp-20-10-4V1,30,7.5,0.79064
sfsarp-16-8-4,24,8,0.77437
sarp-30-15-A-1V2,45,5.625,0.88274
sfsarp-10-5-3,15,5,0.70433
sfsarp-50-25-5V1,75,8.33333,0.87463
sarp-20-10-B-1,30,10,0.84847
sarp-40-20-C-2,60,7.5,0.89927
sarp-60-30-C-2V3,90,5,0.91614
sarp-20-10-C-2V1,30,6,0.81151
sarp-30-15-B-1V2,45,5.625,0.86325
sfsarp-30-15-4,45,9,0.8706
sarp-16-8-A-1V2,24,4,0.79347
sarp-50-25-B-2V3,75,6.25,0.91528
sfsarp-10-5-5,15,5,0.70433
sarp-16-8-B-1V3,24,4,0.77333
ghsarp-6-3-1,9,3,0.65039
sfsarp-20-10-5V1,30,10,0.82259
sarp-40-20-C-2V3,60,6,0.91649
sarp-40-20-A-1,60,10,0.89298
sarp-40-20-B-2V2,60,6,0.88193
sarp-50-25-A-1V1,75,9.375,0.907
ghsarp-10-5-4,15,5,0.73963
sfsarp-40-20-3V1,60,8.57143,0.84563
sarp-30-15-A-1,45,9,0.87328
sarp-40-20-B-2V3,60,6,0.88193
sarp-16-8-C-2V1,24,8,0.79002
sarp-20-10-A-1V3,30,5,0.83901
sarp-20-10-C-2,30,6,0.81151
sarp-16-8-B-1V2,24,4,0.77333
sarp-16-8-B-1V1,24,8,0.78269
sarp-8-4-C-1,12,4,0.68337
sarp-30-15-C-1V2,45,4.5,0.88593
sarp-50-25-A-1V3,75,6.25,0.91054
sfsarp-40-20-5V1,60,8.57143,0.88916
sfsarp-16-8-5,24,8,0.76407
ghsarp-8-4-4,12,4,0.65205
sfsarp-20-10-1V1,30,7.5,0.81427
sarp-20-10-C-1V1,30,7.5,0.84725
sarp-30-15-C-1,45,7.5,0.83821
sfsarp-6-3-5,9,3,0.57987
sarp-50-25-C-1V2,75,4.6875,0.90507
sarp-6-3-A-1,9,3,0.63739
sarp-20-10-C-2V2,30,3.75,0.7935
sarp-16-8-A-1V1,24,8,0.81543
sarp-20-10-B-1V2,30,5,0.77944
sfsarp-6-3-2,9,3,0.62951
sfsarp-30-15-2,45,7.5,0.81406
sarp-30-15-B-2V1,45,9,0.88184
sarp-50-25-A-2V3,75,6.25,0.91645
sarp-60-30-C-1V3,90,5,0.9002
sarp-40-20-C-1,60,10,0.92519
sarp-20-10-A-2V2,30,5,0.79127
sfsarp-20-10-2,30,7.5,0.78641
sarp-20-10-B-2V1,30,10,0.84642
ghsarp-8-4-2,12,4,0.71469
sfsarp-30-15-2V1,45,7.5,0.81406
sarp-8-4-A-2,12,4,0.63048
sarp-30-15-C-1V1,45,7.5,0.83821
sfsarp-40-20-3,60,8.57143,0.84563
ghsarp-8-4-0,12,4,0.746
sarp-40-20-A-2,60,10,0.87902
sarp-40-20-B-1V2,60,5,0.87792
ghsarp-12-6-2,18,6,0.81091
sfsarp-16-8-2,24,8,0.83365
sarp-50-25-C-1V3,75,4.6875,0.90507
sfsarp-40-20-1,60,8.57143,0.90604
sarp-16-8-A-2,24,8,0.78308
sarp-6-3-B-1,9,3,0.62951
ghsarp-8-4-1,12,4,0.69312
sarp-12-6-A-2,18,6,0.6779
sfsarp-20-10-2V1,30,7.5,0.78641
sfsarp-12-6-3,18,6,0.69726
sarp-8-4-C-2,12,4,0.7206
sarp-10-5-A-2,15,5,0.75444
sarp-50-25-C-1V1,75,8.33333,0.89687
sarp-20-10-A-1,30,10,0.80265
sarp-50-25-B-1V3,75,6.25,0.90697
sarp-40-20-A-2V2,60,6,0.8829
sfsarp-20-10-3,30,10,0.84138
sarp-40-20-B-1,60,10,0.89619
sarp-16-8-A-2V3,24,4,0.79977
ghsarp-6-3-3,9,3,0.64251
sfsarp-20-10-5,30,10,0.82259
sarp-30-15-B-2,45,9,0.88184
sfsarp-8-4-5,12,4,0.65205
sarp-30-15-C-2V2,45,5.625,0.8273
sarp-16-8-B-2,24,8,0.7465
sfsarp-30-15-5V1,45,9,0.86297
sarp-10-5-C-1,15,5,0.75444
sarp-40-20-C-1V3,60,5,0.89273
ghsarp-6-3-4,9,3,0.62951
sarp-50-25-C-2V2,75,4.6875,0.90337
sfsarp-30-15-3,45,7.5,0.8475
sfsarp-40-20-1V1,60,8.57143,0.90604
sarp-50-25-B-2V1,75,9.375,0.92451
sarp-20-10-A-1V2,30,5,0.83901
sarp-20-10-C-1,30,7.5,0.84725
sfsarp-30-15-4V1,45,9,0.8706
sarp-12-6-B-1,18,6,0.74434
sarp-40-20-C-2V1,60,7.5,0.89927
sarp-12-6-C-2,18,6,0.71558
sfsarp-6-3-1,9,3,0.62951
sfsarp-8-4-3,12,4,0.68337
sfsarp-10-5-4,15,5,0.72466
sarp-50-25-B-2V2,75,6.25,0.91528
sarp-60-30-B-1V3,90,5,0.91147
sarp-60-30-A-1V3,90,5,0.92341
sarp-20-10-C-1V2,30,4.28571,0.81983
sarp-50-25-C-2V1,75,7.5,0.90444
sfsarp-10-5-1,15,5,0.68708
sfsarp-40-20-4V1,60,10,0.89624
ghsarp-10-5-1,15,5,0.74971
sarp-30-15-B-2V3,45,5,0.85748
sarp-20-10-A-1V1,30,10,0.80265
sfsarp-6-3-4,9,3,0.62951
sarp-40-20-C-2V2,60,6,0.91649
sarp-8-4-A-1,12,4,0.70494
sarp-16-8-C-2V2,24,4,0.79682
