Instance,LB,UB,Time,exp value,cutoff value,,,,,
sarp-6-6-A-1.txt,21.482,21.482,282,21.2337,22,OK,Not,,,
sarp-6-6-A-2.txt,21.2059,21.2059,3121,21.206,22,OK,OK,,,
sarp-6-6-B-1.txt,12.6127,12.6127,217,12.6127,13,OK,OK,,,
sarp-6-6-B-2.txt,-5.88824,-5.88824,1389,-6.7185,-6,OK,Not,,,
sarp-6-6-C-1.txt,-7.39003,-7.39003,4651,-7.39,-7,OK,OK,,,
sarp-6-6-C-2.txt,-40.8621,-40.8621,229,-40.8616,-40,OK,OK,,,
sarp-6-7-A-1.txt,8,8,22,7.5046,8,OK,Not,,,
sarp-6-7-A-2.txt,33,33,1046,32.95164,33,OK,Not,,,
sarp-6-7-B-1.txt,-0.916816,-0.916816,3048,-1.3667,-1,OK,Not,,,
sarp-6-7-B-2.txt,N,N,N,-1.3209,-1,OK,#VALUE!,,,
sarp-6-7-C-1.txt,-10.0972,-10.0972,2941,-10.0972,-10,OK,OK,,,
sarp-6-7-C-2.txt,N,N,N,-7.68300000000001,-7,OK,#VALUE!,,,
sarp-6-8-A-1.txt,-3.31039,-3.31039,14,-2.3686,-2,OK,Not,,,
sarp-6-8-A-2.txt,N,N,N,7.844,8,OK,#VALUE!,,,
sarp-6-8-B-1.txt,0,0,516,-0.192900000000002,0,OK,Not,,,
sarp-6-8-B-2.txt,0.277422,0.277422,5,8.5198,9,OK,Not,,,
sarp-6-8-C-1.txt,N,N,N,-6.80220000000001,-6,OK,#VALUE!,,,
sarp-6-8-C-2.txt,-23.923,-23.923,49,-23.923,-23,OK,OK,,,
sarp-6-9-A-1.txt,N,N,N,10.1345,11,OK,#VALUE!,,,
sarp-6-9-A-2.txt,14.3973,14.3973,113,14.3973,15,OK,OK,,,
sarp-6-9-B-1.txt,N,N,N,6.5228,7,OK,#VALUE!,,,
sarp-6-9-B-2.txt,N,N,N,10.493,11,OK,#VALUE!,,,
sarp-6-9-C-1.txt,N,N,N,-6.57870000000001,-6,OK,#VALUE!,,,
sarp-6-9-C-2.txt,N,N,N,-30.8187,-30,OK,#VALUE!,,,
sarp-7-5-A-1.txt,14.7969,14.7969,2095,14.7969,15,OK,OK,,,
sarp-7-5-A-2.txt,18.6876,18.6876,295,18.6875,19,OK,OK,,,
sarp-7-5-B-1.txt,13,13,1730,12.9185,13,OK,Not,,,
sarp-7-5-B-2.txt,19.5504,19.5504,1987,19.5504,20,OK,OK,,,
sarp-7-5-C-1.txt,-0.863562,-0.863562,369,-0.863600000000005,0,OK,OK,,,
sarp-7-5-C-2.txt,3.26432,3.26432,24083,3.26439999999999,4,OK,OK,,,
sarp-7-6-A-1.txt,11.1699,11.1699,234,11.17,12,OK,OK,,,
sarp-7-6-A-2.txt,15,15,4459,14.4374,15,OK,Not,,,
sarp-7-6-B-1.txt,N,N,N,8.0047,9,OK,#VALUE!,,,
sarp-7-6-B-2.txt,6.78851,6.78851,2625,6.7886,7,OK,OK,,,
sarp-7-6-C-1.txt,3.18288,3.18288,2531,3.0686,4,OK,Not,,,
sarp-7-6-C-2.txt,-21.1941,-21.1941,990,-21.1938,-21,OK,OK,,,
sarp-7-7-A-1.txt,N,N,N,22.0748,23,OK,#VALUE!,,,
sarp-7-7-A-2.txt,8,8,61,7.3254,8,OK,Not,,,
sarp-7-7-B-1.txt,9.50129,9.50129,920,9.5013,10,OK,OK,,,
sarp-7-7-B-2.txt,2.05842,2.05842,207,2.0585,3,OK,OK,,,
sarp-7-7-C-1.txt,4,4,201,3.80980000000001,4,OK,Not,,,
sarp-7-7-C-2.txt,-48.8885,-48.8885,3668,-48.8881,-48,OK,OK,,,
sarp-7-8-A-1.txt,17.789,17.789,25,17.789,18,OK,OK,,,
sarp-7-8-A-2.txt,11.768,11.768,3,11.768,12,OK,OK,,,
sarp-7-8-B-1.txt,12.6937,12.6937,768,12.6937,13,OK,OK,,,
sarp-7-8-B-2.txt,N,N,N,9.9812,10,OK,#VALUE!,,,
sarp-7-8-C-1.txt,N,N,N,-30.9995,-30,OK,#VALUE!,,,
sarp-7-8-C-2.txt,N,N,N,-24.0196,-24,OK,#VALUE!,,,
sarp-8-5-A-1.txt,27.0525,27.0525,27,27.0525,28,OK,OK,,,
sarp-8-5-A-2.txt,17.9703,17.9703,1551,17.9703,18,OK,OK,,,
sarp-8-5-B-1.txt,21.8171,21.8171,378,21.8171,22,OK,OK,,,
sarp-8-5-B-2.txt,-3.55052,-3.55052,7,-3.5505,-3,OK,OK,,,
sarp-8-5-C-1.txt,-4.13175,-4.13175,3524,-4.1318,-4,OK,OK,,,
sarp-8-5-C-2.txt,14.0377,14.0377,153,14.0377,15,OK,OK,,,
sarp-8-6-A-1.txt,21,21,2344,20.9902,21,OK,Not,,,
sarp-8-6-A-2.txt,19.7206,19.7206,1277,19.7206,20,OK,OK,,,
sarp-8-6-B-1.txt,9,9,133,8.9464,9,OK,Not,,,
sarp-8-6-B-2.txt,27,27,6638,26.2315,27,OK,Not,,,
sarp-8-6-C-1.txt,-11.5289,3,95183,2.81299999999999,3,Not,Not,,,
sarp-8-6-C-2.txt,-24.5843,-24.5843,45696,-24.5843,-24,OK,OK,,,
sarp-8-7-A-1.txt,13.3629,13.3629,2501,13.363,14,OK,OK,,,
sarp-8-7-A-2.txt,8.68423,8.68423,375,8.6842,9,OK,OK,,,
sarp-8-7-B-1.txt,-3.36714,-3.36714,179,-3.3671,-3,OK,OK,,,
sarp-8-7-B-2.txt,3.25577,20,94141,19.8522,20,Not,Not,,,
sarp-8-7-C-1.txt,-18.3416,-18.3416,33292,-18.6604,-18,OK,Not,,,
sarp-8-7-C-2.txt,-8.7212,-8.7212,32610,-8.7212,-8,OK,OK,,,
sarp-9-5-A-1.txt,30,30,9978,29.0204,30,OK,Not,,,
sarp-9-5-A-2.txt,17.3996,37.4239,73612,37.42383,38,Not,OK,,,
sarp-9-5-B-1.txt,11.7307,11.7307,11170,11.7307,12,OK,OK,,,
sarp-9-5-B-2.txt,26.6884,26.6884,36585,26.6884,27,OK,OK,,,
sarp-9-5-C-1.txt,14.5224,14.5224,1025,14.5224,15,OK,OK,,,
sarp-9-5-C-2.txt,-12.7238,-12.7238,82,-12.7237,-12,OK,OK,,,
sarp-9-6-A-1.txt,26.6557,26.6557,20559,26.6557,27,OK,OK,,,
sarp-9-6-A-2.txt,18.2296,27.4069,88166,27.4069,28,Not,OK,,,
sarp-9-6-B-1.txt,7,7,23135,6.0834,7,OK,Not,,,
sarp-9-6-B-2.txt,N,N,N,0.545200000000001,1,OK,#VALUE!,,,
sarp-9-6-C-1.txt,-6.08145,-6.08145,1091,-6.08200000000001,-6,OK,OK,,,
sarp-9-6-C-2.txt,-2.53569,-2.53569,115607,-2.53570000000001,-2,OK,OK,,,
,,,,,,,66,29,31,126
,,,,,,,0.523809523809524,0.23015873015873,0.246031746031746,
