Instance,exec time,UB,LB,served parcels,idel time,idel distance,Status
sarp-15-10-B-1,217.4,75.923,75.923,10.0,2.5244,103.5,Optimal
sarp-15-10-B-2,1600.41,69.1585,69.155,10.0,2.9878,122.5,Optimal
sarp-15-10-C-1,7185.47,190.4094,175.383,10.0,2.4268,99.5,Feasible
sarp-15-10-C-2,7169.27,248.674,224.09,10.0,1.8732,76.8,Feasible
sarp-15-15-A-1,7180.56,58.9473,50.239,15.0,3.661,150.1,Feasible
sarp-15-15-A-2,628.58,77.7145,77.71,15.0,2.4244,99.4,Optimal
sarp-15-15-B-1,7167.4,82.9228,72.031,15.0,3.5805,146.8,Feasible
sarp-15-15-B-2,7177.76,96.8022,84.436,14.0,2.1073,86.4,Feasible
sarp-15-15-C-1,7170.98,326.341,261.276,15.0,2.7488,112.7,Feasible
sarp-15-15-C-2,7167.03,262.515,210.178,15.0,2.0707,84.9,Feasible
sarp-15-20-A-1,7166.97,83.3609,79.223,20.0,3.1732,130.1,Feasible
sarp-15-20-A-2,7170.19,79.1005,72.399,19.0,3.1585,129.5,Feasible
sarp-15-20-B-1,7161.75,110.3796,98.518,20.0,3.1366,128.6,Feasible
sarp-15-20-B-2,7161.57,118.4059,97.967,20.0,3.178,130.3,Feasible
sarp-15-20-C-1,7172.49,323.453,222.485,20.0,3.8342,157.2,Feasible
sarp-15-20-C-2,7172.34,307.134,202.766,19.0,3.5317,144.8,Feasible
sarp-15-30-A-1,7182.61,120.9555,110.262,30.0,2.9537,121.1,Feasible
sarp-15-30-A-2,7176.84,109.488,84.573,29.0,4.3098,176.7,Feasible
sarp-15-30-B-1,7192.23,149.822,126.515,30.0,3.0732,126.0,Feasible
sarp-15-30-B-2,7155.74,152.997,132.047,30.0,3.2317,132.5,Feasible
sarp-15-30-C-1,7199.22,417.323,209.998,25.0,5.9951,245.8,Feasible
sarp-15-30-C-2,7178.01,393.523,190.22,22.0,4.3707,179.2,Feasible
sarp-20-10-A-1,308.11,68.4009,68.397,10.0,3.0829,126.4,Optimal
sarp-20-10-A-2,565.98,61.2812,61.28,10.0,3.3659,138.0,Optimal
sarp-20-10-B-1,465.7,84.6053,84.604,10.0,3.3537,137.5,Optimal
sarp-20-10-B-2,7171.71,86.136,78.218,10.0,3.3268,136.4,Feasible
sarp-20-10-C-1,7169.43,266.36,252.172,10.0,2.5073,102.8,Feasible
sarp-20-10-C-2,7174.48,229.6543,217.771,10.0,2.1976,90.1,Feasible
sarp-20-15-A-1,7177.69,69.878,58.103,15.0,4.2415,173.9,Feasible
sarp-20-15-A-2,7168.84,74.5263,69.037,15.0,4.0,164.0,Feasible
sarp-20-15-B-1,7179.51,113.3154,111.473,15.0,2.678,109.8,Feasible
sarp-20-15-B-2,7171.1,110.642,106.084,15.0,2.8098,115.2,Feasible
sarp-20-15-C-1,7179.9,319.856,276.133,15.0,2.3732,97.3,Feasible
sarp-20-15-C-2,7169.64,298.088,239.836,15.0,3.7829,155.1,Feasible
sarp-20-20-A-1,7170.31,91.7638,88.716,19.0,3.5756,146.6,Feasible
sarp-20-20-A-2,1592.69,94.0364,94.03,20.0,2.5488,104.5,Optimal
sarp-20-20-B-1,7176.26,136.0065,125.572,20.0,2.9244,119.9,Feasible
sarp-20-20-B-2,7167.67,143.725,118.53,20.0,3.1561,129.4,Feasible
sarp-20-20-C-1,7170.82,409.956,306.584,20.0,3.5366,145.0,Feasible
sarp-20-20-C-2,7170.2,401.016,246.067,19.0,4.8,196.8,Feasible
sarp-20-30-A-1,7174.75,128.727,107.05,28.0,3.7805,155.0,Feasible
sarp-20-30-A-2,7166.42,127.747,103.317,30.0,4.5293,185.7,Feasible
sarp-20-30-B-1,7166.41,177.401,120.196,29.0,4.3171,177.0,Feasible
sarp-20-30-B-2,7191.22,159.369,124.04,30.0,4.4049,180.6,Feasible
sarp-20-30-C-1,7182.54,551.247,254.581,21.0,6.0976,250.0,Feasible
sarp-20-30-C-2,7172.46,510.401,349.777,30.0,5.4317,222.7,Feasible
sarp-30-10-A-1,7169.81,75.8934,68.192,10.0,4.3463,178.2,Feasible
sarp-30-10-A-2,6294.09,81.5856,81.583,10.0,4.3585,178.7,Optimal
sarp-30-10-B-1,7181.89,116.1564,105.467,10.0,3.4756,142.5,Feasible
sarp-30-10-B-2,7166.02,117.156,100.246,10.0,4.2634,174.8,Feasible
sarp-30-10-C-1,7173.26,347.241,340.347,10.0,3.1683,129.9,Feasible
sarp-30-10-C-2,826.04,337.084,337.08,10.0,2.8488,116.8,Optimal
sarp-30-15-A-1,7177.5,106.2437,88.473,15.0,5.1293,210.3,Feasible
sarp-30-15-A-2,7177.56,109.4207,90.689,15.0,4.2366,173.7,Feasible
sarp-30-15-B-1,7187.26,144.5056,114.244,15.0,5.2561,215.5,Feasible
sarp-30-15-B-2,7166.5,145.1262,127.412,15.0,3.9049,160.1,Feasible
sarp-30-15-C-1,7173.02,432.579,383.858,15.0,2.6268,107.7,Feasible
sarp-30-15-C-2,7170.57,416.047,366.685,15.0,3.3732,138.3,Feasible
sarp-30-20-A-1,7180.49,129.4128,118.163,20.0,2.9756,122.0,Feasible
sarp-30-20-A-2,7162.72,130.0733,103.77,20.0,4.4171,181.1,Feasible
sarp-30-20-B-1,7168.93,165.399,127.464,20.0,4.8463,198.7,Feasible
sarp-30-20-B-2,7171.0,151.002,124.982,20.0,3.9951,163.8,Feasible
sarp-30-20-C-1,7173.93,436.087,358.368,20.0,4.2878,175.8,Feasible
sarp-30-20-C-2,7170.06,474.887,400.679,20.0,3.6512,149.7,Feasible
sarp-30-30-A-1,7169.45,152.588,126.526,30.0,4.4756,183.5,Feasible
sarp-30-30-A-2,7181.99,159.604,145.203,30.0,4.0976,168.0,Feasible
sarp-30-30-B-1,7165.11,194.552,177.424,30.0,3.4122,139.9,Feasible
sarp-30-30-B-2,7166.09,170.014,118.99,30.0,6.2781,257.4,Feasible
sarp-30-30-C-1,7174.89,615.285,360.826,25.0,6.3073,258.6,Feasible
sarp-30-30-C-2,7179.37,543.815,337.875,19.0,4.2415,173.9,Feasible
sarp-5-15-A-1,7189.85,45.6998,42.001,14.0,2.2195,91.0,Feasible
sarp-5-15-A-2,7175.97,48.3433,33.325,15.0,2.8561,117.1,Feasible
sarp-5-15-B-1,7166.19,62.3173,52.527,14.0,1.8854,77.3,Feasible
sarp-5-15-B-2,7182.04,54.8575,42.797,14.0,2.1658,88.8,Feasible
sarp-5-15-C-1,7181.76,183.94,136.531,15.0,2.0537,84.2,Feasible
sarp-5-15-C-2,7197.54,144.725,108.983,15.0,1.4659,60.1,Feasible
sarp-5-20-A-1,7164.43,53.0458,48.458,19.0,2.3951,98.2,Feasible
sarp-5-20-A-2,7180.18,64.1447,49.026,18.0,2.6,106.6,Feasible
sarp-5-20-B-1,7184.48,76.6996,47.871,17.0,2.8463,116.7,Feasible
sarp-5-20-B-2,7177.09,77.7203,70.621,20.0,2.3707,97.2,Feasible
sarp-5-20-C-1,7167.85,226.1,145.067,20.0,2.6463,108.5,Feasible
sarp-5-20-C-2,7187.89,226.537,105.589,12.0,1.9488,79.9,Feasible
sarp-5-30-A-1,7165.76,92.3976,84.838,30.0,2.7366,112.2,Feasible
sarp-5-30-A-2,7173.17,79.5593,72.778,30.0,2.9683,121.7,Feasible
sarp-5-30-B-1,7167.4,115.05,50.186,19.0,2.8073,115.1,Feasible
sarp-5-30-B-2,7184.09,99.0909,95.13,30.0,2.7805,114.0,Feasible
sarp-5-30-C-1,7164.12,351.488,141.331,23.0,4.4293,181.6,Feasible
sarp-5-30-C-2,7174.91,347.144,154.315,24.0,4.739,194.3,Feasible
sfsarp-10-10-1,1735.51,60.2086,60.2058,10.0,0.0133,0.5436,Optimal
sfsarp-10-10-2,7168.32,59.8718,59.8633,10.0,0.0064,0.2604,Feasible
sfsarp-10-10-3,7182.81,59.8705,59.8515,10.0,0.0137,0.5636,Feasible
sfsarp-10-10-4,7170.12,60.0122,59.9974,10.0,0.0131,0.5366,Feasible
sfsarp-10-10-5,7174.0,59.8222,59.7978,10.0,0.0237,0.9714,Feasible
sfsarp-10-15-1,7167.02,73.6782,73.6159,15.0,0.0208,0.8535,Feasible
sfsarp-10-15-2,7187.71,73.6935,73.6666,15.0,0.0115,0.4707,Feasible
sfsarp-10-15-3,7174.07,73.5987,73.5627,15.0,0.0099,0.4056,Feasible
sfsarp-10-15-4,7180.78,73.5153,73.4789,15.0,0.0117,0.4803,Feasible
sfsarp-10-15-5,7176.97,73.4843,73.4163,15.0,0.0124,0.5093,Feasible
sfsarp-10-20-1,7176.17,87.3351,87.2255,20.0,0.0141,0.579,Feasible
sfsarp-10-20-2,7176.01,87.3929,87.2849,20.0,0.0107,0.4401,Feasible
sfsarp-10-20-3,7162.29,87.318,87.2334,20.0,0.01,0.4117,Feasible
sfsarp-10-20-4,7166.92,87.4073,87.3496,20.0,0.0121,0.4976,Feasible
sfsarp-10-20-5,7176.24,87.404,87.2718,20.0,0.0126,0.5184,Feasible
sfsarp-10-30-1,7162.93,114.8817,114.7356,30.0,0.0123,0.503,Feasible
sfsarp-10-30-2,7170.3,114.8394,114.7022,30.0,0.0123,0.5034,Feasible
sfsarp-10-30-3,7181.6,114.9322,114.6913,30.0,0.0158,0.6478,Feasible
sfsarp-10-30-4,7190.31,114.8409,114.6499,30.0,0.0216,0.8848,Feasible
sfsarp-10-30-5,7167.27,115.0,114.6293,30.0,0.0287,1.176,Feasible
sfsarp-15-10-1,7164.11,76.172,76.1125,10.0,0.0163,0.6702,Feasible
sfsarp-15-10-2,218.16,76.1431,76.1404,10.0,0.0147,0.6036,Optimal
sfsarp-15-10-3,7195.98,75.9969,75.9607,10.0,0.0127,0.5227,Feasible
sfsarp-15-10-4,145.95,76.0518,76.0491,10.0,0.0146,0.597,Optimal
sfsarp-15-10-5,7174.05,76.246,76.1947,10.0,0.0275,1.1281,Feasible
sfsarp-15-15-1,7176.97,89.6533,89.59,15.0,0.0154,0.632,Feasible
sfsarp-15-15-2,7168.73,89.667,89.6224,15.0,0.0119,0.486,Feasible
sfsarp-15-15-3,7175.61,90.0357,89.8912,15.0,0.0148,0.6073,Feasible
sfsarp-15-15-4,7170.32,90.0819,90.0508,15.0,0.0151,0.621,Feasible
sfsarp-15-15-5,7181.52,89.7498,89.7035,15.0,0.0128,0.5258,Feasible
sfsarp-15-20-1,7175.6,103.9106,103.8027,20.0,0.0279,1.1451,Feasible
sfsarp-15-20-2,7162.63,103.4443,103.3071,20.0,0.0194,0.7965,Feasible
sfsarp-15-20-3,7166.15,103.4603,103.3221,20.0,0.0154,0.6333,Feasible
sfsarp-15-20-4,7184.09,103.5528,103.4516,20.0,0.0191,0.7851,Feasible
sfsarp-15-20-5,7156.36,103.6558,103.5025,20.0,0.0221,0.9066,Feasible
sfsarp-15-30-1,7154.95,131.4778,131.1697,30.0,0.0356,1.4607,Feasible
sfsarp-15-30-2,7180.72,131.4877,131.1943,30.0,0.0298,1.2232,Feasible
sfsarp-15-30-3,7174.41,131.1547,130.925,30.0,0.0185,0.7603,Feasible
sfsarp-15-30-4,7162.38,131.2426,130.9087,30.0,0.0285,1.1693,Feasible
sfsarp-15-30-5,7155.68,131.368,131.107,30.0,0.0153,0.6253,Feasible
sfsarp-20-10-1,7184.06,92.4581,92.3734,10.0,0.0232,0.9505,Feasible
sfsarp-20-10-2,7180.79,92.2723,92.235,10.0,0.0139,0.5717,Feasible
sfsarp-20-10-3,7176.02,92.2785,92.227,10.0,0.0201,0.8256,Feasible
sfsarp-20-10-4,7181.45,92.1664,92.1395,10.0,0.0185,0.7603,Feasible
sfsarp-20-10-5,7172.89,92.3228,92.1895,10.0,0.0216,0.8847,Feasible
sfsarp-20-15-1,7177.35,106.1673,106.1153,15.0,0.011,0.45,Feasible
sfsarp-20-15-2,7173.14,106.2748,106.1982,15.0,0.0201,0.8261,Feasible
sfsarp-20-15-3,7168.29,106.1248,106.0785,15.0,0.0181,0.7416,Feasible
sfsarp-20-15-4,7177.32,106.5043,106.4725,15.0,0.0241,0.9889,Feasible
sfsarp-20-15-5,7184.43,106.204,106.0558,15.0,0.0208,0.8524,Feasible
sfsarp-20-20-1,7168.98,119.9572,119.7199,20.0,0.0151,0.6172,Feasible
sfsarp-20-20-2,7164.27,119.6378,119.6,20.0,0.0217,0.8897,Feasible
sfsarp-20-20-3,7164.92,120.1028,119.9411,20.0,0.0178,0.7299,Feasible
sfsarp-20-20-4,7176.76,120.3411,119.9848,20.0,0.0202,0.8297,Feasible
sfsarp-20-20-5,7161.85,119.7595,119.623,20.0,0.0175,0.7176,Feasible
sfsarp-20-30-1,7174.71,147.6698,147.5177,30.0,0.017,0.6983,Feasible
sfsarp-20-30-2,7178.63,147.3109,146.9708,30.0,0.0248,1.0148,Feasible
sfsarp-20-30-3,7176.77,147.3444,146.9912,30.0,0.0185,0.7587,Feasible
sfsarp-20-30-4,7162.91,147.5485,147.3301,30.0,0.018,0.738,Feasible
sfsarp-20-30-5,7170.29,147.5085,147.2622,30.0,0.0219,0.8988,Feasible
sfsarp-30-10-1,7167.39,124.8048,124.7505,10.0,0.0159,0.6517,Feasible
sfsarp-30-10-2,3093.92,124.8221,124.8193,10.0,0.0232,0.9512,Optimal
sfsarp-30-10-3,7165.88,124.9418,124.8902,10.0,0.023,0.9444,Feasible
sfsarp-30-10-4,7166.5,124.5938,124.4411,10.0,0.0237,0.9736,Feasible
sfsarp-30-10-5,7179.45,125.0667,124.9927,10.0,0.0221,0.9074,Feasible
sfsarp-30-15-1,7174.21,138.7056,138.6219,15.0,0.0301,1.2333,Feasible
sfsarp-30-15-2,7164.22,138.5581,138.4354,15.0,0.0231,0.9483,Feasible
sfsarp-30-15-3,7165.85,138.4056,138.1836,15.0,0.0151,0.6195,Feasible
sfsarp-30-15-4,7166.54,138.559,138.4507,15.0,0.0214,0.8757,Feasible
sfsarp-30-15-5,7175.55,138.7604,138.7023,15.0,0.0253,1.0389,Feasible
sfsarp-30-20-1,7186.36,152.3562,152.2022,20.0,0.0251,1.0307,Feasible
sfsarp-30-20-2,7165.61,152.3639,152.1243,20.0,0.0317,1.2983,Feasible
sfsarp-30-20-3,7165.52,152.668,152.555,20.0,0.0267,1.0944,Feasible
sfsarp-30-20-4,7184.19,152.2987,152.2356,20.0,0.0211,0.8669,Feasible
sfsarp-30-20-5,7179.7,152.3362,152.1147,20.0,0.0172,0.7035,Feasible
sfsarp-30-30-1,7164.05,180.1611,179.7466,30.0,0.0286,1.1716,Feasible
sfsarp-30-30-2,7184.92,179.6896,179.5329,30.0,0.0207,0.8492,Feasible
sfsarp-30-30-3,7177.21,179.564,179.2158,30.0,0.0309,1.2652,Feasible
sfsarp-30-30-4,7165.3,179.5913,179.4216,30.0,0.0195,0.8008,Feasible
sfsarp-30-30-5,7167.25,179.9488,179.7979,30.0,0.0211,0.8665,Feasible
sfsarp-5-15-1,7186.35,57.3973,57.3444,15.0,0.0044,0.1784,Feasible
sfsarp-5-15-2,7181.09,57.2072,57.1786,15.0,0.0108,0.4419,Feasible
sfsarp-5-15-3,7184.39,57.3874,57.3728,15.0,0.0113,0.4644,Feasible
sfsarp-5-15-4,7183.31,57.4038,57.3416,15.0,0.004,0.1658,Feasible
sfsarp-5-15-5,7162.84,57.3565,57.3197,15.0,0.0127,0.5207,Feasible
sfsarp-5-20-1,7181.42,71.1631,71.1401,20.0,0.0091,0.3744,Feasible
sfsarp-5-20-2,7178.3,71.3222,71.2409,20.0,0.0078,0.3209,Feasible
sfsarp-5-20-3,7179.67,70.8766,70.7687,20.0,0.0226,0.9273,Feasible
sfsarp-5-20-4,7162.71,70.9929,70.9323,20.0,0.0163,0.6702,Feasible
sfsarp-5-20-5,7184.41,71.1615,71.0728,20.0,0.0075,0.3084,Feasible
sfsarp-5-30-1,7173.54,98.4786,98.3934,30.0,0.0142,0.5802,Feasible
sfsarp-5-30-2,7177.03,98.6815,98.5658,30.0,0.0197,0.8088,Feasible
sfsarp-5-30-3,7168.56,98.4788,98.3881,30.0,0.0131,0.5383,Feasible
sfsarp-5-30-4,7167.13,98.889,98.6054,30.0,0.025,1.0256,Feasible
sfsarp-5-30-5,7171.25,98.7156,98.4571,30.0,0.0208,0.8542,Feasible
