Instance,MIP,FIP,BCP,Heuristic
sarp-20-10-A-1V1,25.928,17.364,25.928,25.928
sarp-20-10-A-2V1,26.813,23.864,26.813,26.813
sarp-20-10-B-1V1,51.284,48.739,51.284,51.284
sarp-20-10-B-2V1,59.45,52.126,59.45,59.45
sarp-20-10-C-1V1,175.762,161.531,175.762,175.762
sarp-20-10-C-2V1,219.123,210.747,219.123,219.123
sarp-30-15-A-1V1,68.2,65.594,68.2,68.2
sarp-30-15-A-2V1,72.452,69.002,72.452,72.452
sarp-30-15-B-1V1,97.896,81.309,97.896,97.896
sarp-30-15-B-2V1,96.122,96.122,96.122,96.122
sarp-30-15-C-1V1,0,308.141,339.467,339.467
sarp-30-15-C-2V1,0,288.79,309.59,309.59
sarp-40-20-A-1V1,94.964,88.864,94.964,94.964
sarp-40-20-A-2V1,0,81.575,88.265,88.265
sarp-40-20-B-1V1,0,120.152,129.773,129.773
sarp-40-20-B-2V1,120.67,111.555,120.67,120.67
sarp-40-20-C-1V1,0,419.654,456.592,453.28
sarp-40-20-C-2V1,0,423.884,473.228,470.974
sarp-50-25-A-1V1,0,112.157,119.482,119.482
sarp-50-25-A-2V1,0,131.302,0,141.739
sarp-50-25-B-1V1,0,171.907,182.305,182.305
sarp-50-25-B-2V1,0,163.258,0,175.405
sarp-50-25-C-1V1,0,572.526,0,616.732
sarp-50-25-C-2V1,0,604.593,0,658.204
sfsarp-16-8-1V1,61.4206,59.249,61.4206,61.421
sfsarp-16-8-2V1,72.7603,71.0458,72.7602,72.76
sfsarp-16-8-3V1,93.1652,90.1812,93.16524,93.165
sfsarp-16-8-4V1,71.2935,70.4227,71.29352,71.294
sfsarp-16-8-5V1,69.7438,69.7033,69.74375,69.744
sfsarp-20-10-1V1,94.5986,91.4963,94.599,94.599
sfsarp-20-10-2V1,81.9658,81.9658,81.96586,81.966
sfsarp-20-10-3V1,88.7815,83.9407,88.7811,88.781
sfsarp-20-10-4V1,82.4017,81.3189,82.40172,82.306
sfsarp-20-10-5V1,79.1429,78.4437,79.1429,79.143
sfsarp-30-15-1V1,144.758,139.896,144.7581,144.758
sfsarp-30-15-2V1,0,122.969,124.95616,124.956
sfsarp-30-15-3V1,162.717,160.7,162.71685,162.717
sfsarp-30-15-4V1,0,143.657,145.4574,145.457
sfsarp-30-15-5V1,135.537,134.201,135.5371,135.537
sfsarp-40-20-1V1,0,174.356,181.5435,181.459
sfsarp-40-20-2V1,0,195.147,197.7719,197.772
sfsarp-40-20-3V1,0,175.363,176.0543,175.906
sfsarp-40-20-4V1,0,181.298,185.5776,185.42
sfsarp-40-20-5V1,0,205.095,211.56391,211.564
sfsarp-50-25-1V1,0,254.705,0,262.64
sfsarp-50-25-2V1,0,239.34,0,242.318
sfsarp-50-25-3V1,0,295.157,0,302.787
sfsarp-50-25-4V1,0,224.129,0,230.871
sfsarp-50-25-5V1,0,316.546,0,334.925
sarp-16-8-A-1V2,41.257,38.313,41.257,41.257
sarp-16-8-A-2V2,52.711,50.779,52.711,52.711
sarp-16-8-B-1V2,73.719,62.857,73.719,73.719
sarp-16-8-B-2V2,88.41,78.75,88.41,88.41
sarp-16-8-C-1V2,344.461,323.48,344.461,344.461
sarp-16-8-C-2V2,266.612,247.798,266.612,266.612
sarp-20-10-A-1V2,25.71,16.113,25.71,25.71
sarp-20-10-A-2V2,10.648,10.648,10.648,10.648
sarp-20-10-B-1V2,106.206,90.343,106.206,106.206
sarp-20-10-B-2V2,110.999,102.402,110.999,110.999
sarp-20-10-C-1V2,0,395.513,435.072,435.072
sarp-20-10-C-2V2,385.406,378.874,385.406,385.406
sarp-30-15-A-1V2,0,56.687,65.713,65.713
sarp-30-15-A-2V2,0,56.586,66.614,66.614
sarp-30-15-B-1V2,113.19,104.31,113.19,113.19
sarp-30-15-B-2V2,0,118.479,125.839,125.839
sarp-30-15-C-1V2,0,555.088,582.826,582.826
sarp-30-15-C-2V2,0,492.687,584.028,583.21
sarp-40-20-A-1V2,0,61.545,0,64.719
sarp-40-20-A-2V2,0,76.468,0,87.576
sarp-40-20-B-1V2,0,131.102,0,134.11
sarp-40-20-B-2V2,0,134.485,0,152.011
sarp-40-20-C-1V2,0,718.138,0,784.194
sarp-40-20-C-2V2,0,731.169,0,790.535
sarp-50-25-A-1V2,0,119.911,0,129.569
sarp-50-25-A-2V2,0,92.667,0,111.862
sarp-50-25-B-1V2,0,174.569,0,198.882
sarp-50-25-B-2V2,0,179.828,0,191.786
sarp-50-25-C-1V2,0,1124.73,0,1178.179
sarp-50-25-C-2V2,0,1056.44,0,1133.241
sarp-16-8-A-1V3,39.555,34.905,39.555,39.555
sarp-16-8-A-2V3,51.945,50.013,51.945,51.945
sarp-16-8-B-1V3,65.065,62.857,65.065,65.065
sarp-16-8-B-2V3,85.236,76.435,85.236,85.236
sarp-16-8-C-1V3,280.783,270.249,280.783,280.783
sarp-16-8-C-2V3,226.187,210.087,226.187,226.187
sarp-20-10-A-1V3,22.26,11.941,22.26,22.26
sarp-20-10-A-2V3,10.648,76.188,10.648,10.648
sarp-20-10-B-1V3,97.119,321.674,97.119,97.119
sarp-20-10-B-2V3,87.171,10.648,87.171,87.171
sarp-20-10-C-1V3,365.888,76.862,365.888,365.888
sarp-20-10-C-2V3,369.904,366.04,369.904,369.904
sarp-30-15-A-1V3,61.389,53.834,61.389,61.389
sarp-30-15-A-2V3,61.258,48.197,61.258,61.258
sarp-30-15-B-1V3,89.877,81.662,89.877,89.877
sarp-30-15-B-2V3,114.38,107.836,114.38,114.38
sarp-30-15-C-1V3,0,456.619,504.382,504.382
sarp-30-15-C-2V3,0,391.511,471.888,471.888
sarp-40-20-A-1V3,56.786,52.094,56.786,56.786
sarp-40-20-A-2V3,83.214,74.406,83.214,83.214
sarp-40-20-B-1V3,127.354,126.848,127.354,127.354
sarp-40-20-B-2V3,0,113.072,128.739,128.739
sarp-40-20-C-1V3,0,591.731,703.36,703.36
sarp-40-20-C-2V3,0,545.238,638.633,638.239
sarp-50-25-A-1V3,124.509,117.979,124.509,124.509
sarp-50-25-A-2V3,106.48,86.181,106.48,106.48
sarp-50-25-B-1V3,168.053,150.976,168.053,168.053
sarp-50-25-B-2V3,0,148.085,172.219,172.219
sarp-50-25-C-1V3,0,941.136,1058.993,1058.993
sarp-50-25-C-2V3,0,936.793,1031.141,1031.141
sarp-60-30-A-1V3,178.143,163.371,244.889,178.143
sarp-60-30-A-2V3,179.911,167.364,249.003,179.911
sarp-60-30-B-1V3,0,236.971,352.025,247.743
sarp-60-30-B-2V3,0,203.28,0,216.583
sarp-60-30-C-1V3,0,1165.52,2045.811,1278.431
sarp-60-30-C-2V3,0,1112.33,2006.041,1250.4
sarp-50-25-A-1,0,121.941,0,128.488
sarp-50-25-A-2,0,138.532,0,147.995
sarp-50-25-B-1,0,186.675,0,195.185
sarp-50-25-B-2,0,176.159,0,184.601
sarp-50-25-C-1,0,635.868,0,645.666
sarp-50-25-C-2,0,650.441,0,685.942
sfsarp-50-25-1,0,267.92,0,270.933
sfsarp-50-25-2,0,242.242,0,246.634
sfsarp-50-25-3,0,301.054,0,327.526
sfsarp-50-25-4,0,223.915,0,234.844
sfsarp-50-25-5,0,345.571,0,356.24
