Instance,feature_V,feature_avgReqPerVehicle,feature_avgReqTripLen,feature_stdReqTripLen,feature_percLoReqTripLen,feature_percHiReqTripLen,feature_avgPassTripLen,feature_stdPassTripLen,feature_avgParcTripLen,feature_stdParcTripLen,feature_avgPassToParcTrip,feature_stdPassToParcTrip,feature_avgPassToPassTrip,feature_stdPassToPassTrip,feature_avgDepotToPassDist,feature_stdDepotToPassDist,feature_avgDepotToParcDist,feature_stdDepotToParcDist,feature_avgDepotToReqDist,feature_stdDepotToReqDist,feature_avgTWLength,feature_TWEntropy,algo_standardMIP,algo_FIP,algo_BCP
sarp-20-10-A-1V2,30,3.33333,4.77333,3.05548,0.66667,0.33333,3.755,1.99937,6.81,3.71361,25.01829,11.73053,22.86759,10.49207,26.955,12.26855,27.31833,9.80689,27.07611,11.50794,62.51667,0.83901,25.71,16.113,25.71
sarp-20-10-A-1V3,30,3.33333,4.77333,3.05548,0.66667,0.33333,3.755,1.99937,6.81,3.71361,25.01829,11.73053,22.86759,10.49207,26.955,12.26855,27.31833,9.80689,27.07611,11.50794,20.0,0.83901,22.26,11.941,22.26
sarp-20-10-A-2,30,6.66667,2.68333,1.85456,0.66667,0.33333,2.125,1.10674,3.8,2.44908,13.67877,6.24829,14.87426,6.00377,13.36667,7.24444,12.53,6.00201,13.08778,6.8667,58.1,0.84405,35.659,28.789,35.659
sarp-20-10-A-2V1,30,6.66667,2.68333,1.85456,0.66667,0.33333,2.125,1.10674,3.8,2.44908,13.67877,6.24829,14.87426,6.00377,13.36667,7.24444,12.53,6.00201,13.08778,6.8667,20.0,0.84405,26.813,23.864,26.813
sarp-20-10-A-2V2,30,3.33333,5.38667,2.28046,0.56667,0.43333,4.75,1.89275,6.66,2.45039,28.57267,12.88615,25.59767,11.33224,27.87167,12.76841,23.81833,10.36162,26.52056,12.17074,49.53333,0.79127,10.648,10.648,10.648
sarp-20-10-A-2V3,30,3.33333,5.38667,2.28046,0.56667,0.43333,4.75,1.89275,6.66,2.45039,28.57267,12.88615,25.59767,11.33224,27.87167,12.76841,23.81833,10.36162,26.52056,12.17074,20.0,0.79127,10.648,76.188,10.648
sarp-20-10-B-1,30,6.66667,4.25,2.65289,0.63333,0.36667,3.445,1.58949,5.86,3.4889,12.37923,5.73565,13.23579,6.06968,13.17667,5.52872,15.06,6.85792,13.80444,6.06985,52.93333,0.84847,60.116,56.007,60.116
sarp-20-10-B-1V1,30,6.66667,4.25,2.65289,0.63333,0.36667,3.445,1.58949,5.86,3.4889,12.37923,5.73565,13.23579,6.06968,13.17667,5.52872,15.06,6.85792,13.80444,6.06985,20.0,0.84847,51.284,48.739,51.284
sarp-20-10-B-1V2,30,3.33333,8.19667,4.47113,0.56667,0.43333,6.46,2.91897,11.67,4.98358,22.95556,10.20313,23.3125,11.10549,23.59917,11.51852,27.26333,12.50345,24.82056,11.98109,49.45,0.77944,106.206,90.343,106.206
sarp-20-10-B-1V3,30,3.33333,8.19667,4.47113,0.56667,0.43333,6.46,2.91897,11.67,4.98358,22.95556,10.20313,23.3125,11.10549,23.59917,11.51852,27.26333,12.50345,24.82056,11.98109,20.0,0.77944,97.119,321.674,97.119
sarp-20-10-B-2,30,6.66667,4.12,2.87082,0.63333,0.36667,3.345,2.13178,5.67,3.46873,11.86304,5.48622,10.86571,5.53092,12.80667,5.22695,9.76333,4.74521,11.79222,5.27047,65.31667,0.84642,62.475,56.369,65.446
sarp-20-10-B-2V1,30,6.66667,4.12,2.87082,0.63333,0.36667,3.345,2.13178,5.67,3.46873,11.86304,5.48622,10.86571,5.53092,12.80667,5.22695,9.76333,4.74521,11.79222,5.27047,20.0,0.84642,59.45,52.126,59.45
sarp-20-10-B-2V2,30,3.33333,8.58667,5.26692,0.6,0.4,6.8,2.79589,12.16,6.95948,25.62544,11.98206,24.635,11.06497,25.08583,11.06634,24.54667,10.73264,24.90611,10.95918,72.38333,0.80367,110.999,102.402,110.999
sarp-20-10-B-2V3,30,3.33333,8.58667,5.26692,0.6,0.4,6.8,2.79589,12.16,6.95948,25.62544,11.98206,24.635,11.06497,25.08583,11.06634,24.54667,10.73264,24.90611,10.95918,20.0,0.80367,87.171,10.648,87.171
sarp-20-10-C-1,30,5.0,11.15667,6.18567,0.56667,0.43333,11.44,6.93573,10.59,4.25405,11.88956,5.44841,11.76104,5.19373,11.8225,6.26047,12.615,5.15425,12.08667,5.92655,64.98333,0.84725,196.249,189.303,196.249
sarp-20-10-C-1V1,30,5.0,11.15667,6.18567,0.56667,0.43333,11.44,6.93573,10.59,4.25405,11.88956,5.44841,11.76104,5.19373,11.8225,6.26047,12.615,5.15425,12.08667,5.92655,20.0,0.84725,175.762,161.531,175.762
sarp-20-10-C-1V2,30,2.85714,26.44,11.19829,0.56667,0.43333,26.285,10.93258,26.75,11.70549,24.50867,11.88478,22.74722,11.67638,23.96786,10.93569,23.25429,10.61758,23.73,10.83591,72.05,0.81983,427.39,395.513,435.072
sarp-20-10-C-1V3,30,2.85714,26.44,11.19829,0.56667,0.43333,26.285,10.93258,26.75,11.70549,24.50867,11.88478,22.74722,11.67638,23.96786,10.93569,23.25429,10.61758,23.73,10.83591,20.0,0.81983,365.888,76.862,365.888
sarp-20-10-C-2,30,4.0,12.60333,6.81574,0.56667,0.43333,11.235,6.35518,15.34,6.88131,12.555,6.02581,11.07576,5.51144,13.836,6.9615,12.898,6.27482,13.52333,6.75487,46.48333,0.81151,226.207,219.767,226.713
sarp-20-10-C-2V1,30,4.0,12.60333,6.81574,0.56667,0.43333,11.235,6.35518,15.34,6.88131,12.555,6.02581,11.07576,5.51144,13.836,6.9615,12.898,6.27482,13.52333,6.75487,20.0,0.81151,219.123,210.747,219.123
sarp-20-10-C-2V2,30,2.5,26.88667,11.68802,0.56667,0.43333,29.375,11.19955,21.91,11.03716,25.07576,12.5273,29.69844,11.53169,28.99375,12.4495,29.8075,10.57916,29.265,11.86508,52.3,0.7935,385.406,378.874,385.406
sarp-20-10-C-2V3,30,2.5,26.88667,11.68802,0.56667,0.43333,29.375,11.19955,21.91,11.03716,25.07576,12.5273,29.69844,11.53169,28.99375,12.4495,29.8075,10.57916,29.265,11.86508,20.0,0.7935,369.904,366.04,369.904
sarp-30-15-A-1,45,6.0,1.94667,1.21684,0.62222,0.37778,1.65,0.97185,2.54,1.42305,12.76178,6.0339,14.49395,6.52115,11.436,5.04671,11.95467,5.49245,11.60889,5.20528,57.74444,0.87328,68.342,66.376,0
sarp-30-15-A-1V1,45,6.0,1.94667,1.21684,0.62222,0.37778,1.65,0.97185,2.54,1.42305,12.76178,6.0339,14.49395,6.52115,11.436,5.04671,11.95467,5.49245,11.60889,5.20528,20.0,0.87328,68.2,65.594,68.2
sarp-30-15-A-1V2,45,3.75,4.46,2.33242,0.53333,0.46667,3.62333,1.68616,6.13333,2.53658,27.33042,12.45509,25.25657,11.99456,24.9025,11.54948,25.09417,11.39186,24.96639,11.49753,59.57778,0.88274,65.713,56.687,65.713
sarp-30-15-A-1V3,45,3.75,4.46,2.33242,0.53333,0.46667,3.62333,1.68616,6.13333,2.53658,27.33042,12.45509,25.25657,11.99456,24.9025,11.54948,25.09417,11.39186,24.96639,11.49753,20.0,0.88274,61.389,53.834,61.389
sarp-30-15-A-2,45,6.0,2.11111,1.12531,0.62222,0.37778,1.77,0.95224,2.79333,1.13459,12.98148,6.01343,13.53264,6.32668,13.64333,6.34956,13.92533,6.72892,13.73733,6.47984,52.76667,0.83,72.452,69.002,0
sarp-30-15-A-2V1,45,6.0,2.11111,1.12531,0.62222,0.37778,1.77,0.95224,2.79333,1.13459,12.98148,6.01343,13.53264,6.32668,13.64333,6.34956,13.92533,6.72892,13.73733,6.47984,20.0,0.83,72.452,69.002,72.452
sarp-30-15-A-2V2,45,3.75,4.22667,2.24741,0.57778,0.42222,3.69,1.90287,5.3,2.4865,25.90101,12.23454,26.15304,12.9438,25.91292,12.76599,24.8325,11.84696,25.55278,12.47757,51.82222,0.80235,66.614,56.586,66.614
sarp-30-15-A-2V3,45,3.75,4.22667,2.24741,0.57778,0.42222,3.69,1.90287,5.3,2.4865,25.90101,12.23454,26.15304,12.9438,25.91292,12.76599,24.8325,11.84696,25.55278,12.47757,20.0,0.80235,61.258,48.197,61.258
sarp-30-15-B-1,45,6.0,3.46444,2.24857,0.62222,0.37778,2.95667,1.45572,4.48,3.06316,13.03669,6.14419,13.03955,6.49792,12.37867,5.70508,11.86533,6.06741,12.20756,5.83338,68.94444,0.89211,100.288,91.597,0
sarp-30-15-B-1V1,45,6.0,3.46444,2.24857,0.62222,0.37778,2.95667,1.45572,4.48,3.06316,13.03669,6.14419,13.03955,6.49792,12.37867,5.70508,11.86533,6.06741,12.20756,5.83338,20.0,0.89211,97.896,81.309,97.896
sarp-30-15-B-1V2,45,3.75,5.94889,3.10531,0.55556,0.44444,4.71,1.79691,8.42667,3.6417,25.90392,11.82857,25.73941,12.30293,25.79708,12.15165,27.17,12.82369,26.25472,12.39662,47.46667,0.86325,113.19,104.31,113.19
sarp-30-15-B-1V3,45,3.75,5.94889,3.10531,0.55556,0.44444,4.71,1.79691,8.42667,3.6417,25.90392,11.82857,25.73941,12.30293,25.79708,12.15165,27.17,12.82369,26.25472,12.39662,20.0,0.86325,89.877,81.662,89.877
sarp-30-15-B-2,45,6.0,3.50444,2.12623,0.57778,0.42222,2.81,1.63551,4.89333,2.30636,12.29108,5.7267,13.19833,6.10427,11.51333,5.3662,12.33733,5.9663,11.788,5.58694,58.2,0.88184,0,103.86,0
sarp-30-15-B-2V1,45,6.0,3.50444,2.12623,0.57778,0.42222,2.81,1.63551,4.89333,2.30636,12.29108,5.7267,13.19833,6.10427,11.51333,5.3662,12.33733,5.9663,11.788,5.58694,20.0,0.88184,96.122,96.122,96.122
sarp-30-15-B-2V2,45,3.33333,6.80667,4.33007,0.6,0.4,5.66667,3.97906,9.08667,4.09697,26.98193,12.43823,24.11461,12.706,26.13259,12.55304,24.60963,12.15254,25.62494,12.44171,62.28889,0.85748,125.839,118.479,125.839
sarp-30-15-B-2V3,45,3.33333,6.80667,4.33007,0.6,0.4,5.66667,3.97906,9.08667,4.09697,26.98193,12.43823,24.11461,12.706,26.13259,12.55304,24.60963,12.15254,25.62494,12.44171,20.0,0.85748,114.38,107.836,114.38
sarp-30-15-C-1,45,5.0,13.10444,5.89301,0.55556,0.44444,13.69667,5.20753,11.92,6.91676,12.35192,5.98509,12.54902,6.25456,13.38833,6.16076,12.73667,6.33827,13.17111,6.22807,58.67778,0.83821,356.177,355.349,0
sarp-30-15-C-1V1,45,5.0,13.10444,5.89301,0.55556,0.44444,13.69667,5.20753,11.92,6.91676,12.35192,5.98509,12.54902,6.25456,13.38833,6.16076,12.73667,6.33827,13.17111,6.22807,20.0,0.83821,339.341,308.141,339.467
sarp-30-15-C-1V2,45,3.0,25.64889,12.57542,0.51111,0.48889,24.21,13.71149,28.52667,9.27315,27.40186,12.76106,25.9285,12.59187,26.53967,12.18527,26.514,13.42917,26.53111,12.61355,62.6,0.88593,545.106,555.088,582.826
sarp-30-15-C-1V3,45,3.0,25.64889,12.57542,0.51111,0.48889,24.21,13.71149,28.52667,9.27315,27.40186,12.76106,25.9285,12.59187,26.53967,12.18527,26.514,13.42917,26.53111,12.61355,20.0,0.88593,504.29,456.619,504.382
sarp-30-15-C-2,45,6.0,13.18889,5.87595,0.55556,0.44444,12.82,5.4292,13.92667,6.61901,12.66675,5.69354,11.76584,5.86686,13.922,6.39489,13.30267,6.97999,13.71556,6.60215,56.54444,0.87693,323.909,337.013,0
sarp-30-15-C-2V1,45,6.0,13.18889,5.87595,0.55556,0.44444,12.82,5.4292,13.92667,6.61901,12.66675,5.69354,11.76584,5.86686,13.922,6.39489,13.30267,6.97999,13.71556,6.60215,20.0,0.87693,306.642,288.79,309.59
sarp-30-15-C-2V2,45,3.75,25.5,12.80335,0.48889,0.51111,25.93,13.10636,24.64,12.12907,23.01103,11.54679,23.98057,11.77907,24.79458,12.49556,24.99667,12.05826,24.86194,12.35188,66.33333,0.8273,542.766,492.687,584.028
sarp-30-15-C-2V3,45,3.75,25.5,12.80335,0.48889,0.51111,25.93,13.10636,24.64,12.12907,23.01103,11.54679,23.98057,11.77907,24.79458,12.49556,24.99667,12.05826,24.86194,12.35188,20.0,0.8273,465.594,391.511,471.888
