Instances,feature_V,feature_avgReqPerVehicle,feature_avgReqTripLen,feature_avgPassTripLen,feature_avgParcTripLen,feature_avgPassToParcTrip,feature_avgPassToPassTrip,feature_avgDepotToReqDist,feature_entropyPass,feature_entropyParc,feature_entropyReq,feature_depotIsolationRatio,feature_requestSpreadRadius,feature_convexHullArea,feature_avgTWLength,feature_TWEntropy,algo_standardMIP,algo_FIP,algo_BCP,algo_heuristic
sfsarp-16-8-1V1,24,6,1.33358,1.412,1.17675,4.14824,3.69392,6.42358,1.03333,1,1.0196,1.7598,19.034,77.43448,20,0.71823,61.4206,59.249,61.4206,61.421
ghsarp-6-3-2,9,3,5.45333,4.65967,7.04067,9.58333,11.75471,12.65067,1,1,1,1.66554,24.496,180.97037,61.44444,0.61651,17.895,17.895,17.895,17.895
sarp-20-10-B-2V3,30,5,8.58667,6.8,12.16,24.635,25.62544,24.90611,1.02369,1,1,0.92564,58,1645.09323,20,0.80367,87.171,10.648,87.171,87.171
sarp-16-8-B-1,24,8,4.4875,3.35,6.7625,13.36667,12.19304,13.61389,1,1,1.01851,1.1788,31.5,456.06355,55.875,0.78269,50.222,49.19,50.222,50.222
ghsarp-12-6-3,18,6,4.47989,4.63517,4.16933,8.80953,9.35975,11.98633,1,1,1,1.51982,24.452,195.9108,69.27778,0.81091,48.58,46.072,48.58,48.58
sarp-50-25-B-1V1,75,9.375,2.60533,2.24,3.336,12.3273,12.39679,13.29067,1,0.98277,0.98522,1.08403,33.5,532.63043,20,0.90371,0,171.907,182.305,182.305
sarp-16-8-A-2V1,24,8,3.1375,2.43125,4.55,12.5614,12.90982,13.17222,0.96875,1,0.98182,1.1276,28,410.7863,20,0.78308,26.641,26.487,26.641,26.641
sarp-30-15-C-1V3,45,4.5,25.64889,24.21,28.52667,25.9285,27.40186,26.53111,0.94053,1.03533,0.95613,1.03331,62.2,1858.71443,20,0.88593,0,456.619,504.382,504.382
sfsarp-50-25-1V1,75,9.375,3.52728,3.66026,3.26132,5.6057,6.7211,7.01007,0.96641,1.08218,1.02464,0.85637,37.414,569.66258,20,0.91661,0,254.705,0,262.64
sarp-40-20-B-1V1,60,10,2.96667,2.525,3.85,11.93469,12.99728,13.85306,1.00967,1,0.99423,1.11263,31.5,491.1477,20,0.89619,0,120.152,129.773,129.773
sfsarp-50-25-3V1,75,8.33333,4.88179,4.60162,5.44212,7.20018,6.43523,7.69383,1.08078,1.11833,1.08073,1.17104,50.588,577.86707,20,0.90559,0,295.157,0,302.787
sarp-20-10-A-2V1,30,10,2.68333,2.125,3.8,14.87426,13.67877,13.08778,1,1,1,0.97108,31.9,489.98542,20,0.84405,26.813,23.864,26.813,26.813
sarp-16-8-B-2V1,24,8,4.62917,3.425,7.0375,13.59167,12.16757,14.075,0.96875,1,0.98182,1.21872,28,421.95317,20,0.7465,40.059,27.593,40.059,40.059
sarp-6-3-B-2,9,3,7.7,5.65,11.8,11.4,10.17143,11.01852,1,1,1,1.24165,23,194.16275,61.38889,0.57476,41.635,37.347,41.635,41.635
ghsarp-10-5-3,15,5,5.6216,5.552,5.7608,8.69886,9.048,14.43347,1,1,1,1.70254,27.108,235.61328,61.2,0.76224,40.512,40.512,40.512,40.512
sarp-16-8-A-2V2,24,4,7.01667,5.41875,10.2125,23.53636,23.62095,23.10903,1.03226,1,1.01851,1.04248,56,1520.97046,54.70833,0.79977,52.711,50.779,52.711,52.711
sarp-30-15-A-1V3,45,5.625,4.46,3.62333,6.13333,25.25657,27.33042,24.96639,0.97283,1,0.98368,0.94558,60.4,1811.75749,20,0.88274,61.389,53.834,61.389,61.389
sfsarp-16-8-4V1,24,8,2.0625,2.63938,0.90875,2.88882,3.65672,5.40258,1,1,1.0196,1.31441,24.03,74.46527,20,0.77437,71.2935,70.4227,71.29352,71.294
sarp-10-5-C-2,15,5,11.73333,13.4,8.4,11.06538,12.08837,10.89778,1,1,1.03533,0.91966,28.3,329.90075,43.33333,0.68708,100.806,99.722,100.806,100.806
ghsarp-6-3-0,9,3,6.578,6.17433,7.38533,11.86267,8.93147,10.44244,1,1,1,1.75222,19.864,127.50466,64.27778,0.70002,36.131,36.131,36.131,36.131
sarp-40-20-B-2V1,60,10,2.55833,2.0875,3.5,13.48371,12.22183,11.64028,0.9906,1.03373,1.01384,0.9615,32.9,511.79072,20,0.87726,120.67,111.555,120.67,120.67
sfsarp-16-8-2V1,24,8,3.21412,4.15912,1.32412,3.03564,5.74088,6.81838,0.96774,1,1,1.16494,26.07,82.02811,20,0.83365,72.7603,71.0458,72.7602,72.76
ghsarp-10-5-2,15,5,5.9272,6.0502,5.6812,7.94143,9.65028,11.5276,1,1,1.03533,1.2987,23.866,232.66587,54.46667,0.79202,50.323,43.354,50.323,50.323
sfsarp-20-10-3V1,30,10,3.4818,4.20925,2.0269,3.68475,8.62279,6.91573,1.11568,0.97227,1.15391,0.85407,48.32,211.17567,20,0.84138,88.7815,83.9407,88.7811,88.781
sfsarp-12-6-1,18,6,2.43511,3.21442,0.8765,4.32158,6.00902,6.81594,0.9294,1,1,1.3754,24.057,85.18462,66.25,0.81091,50.8962,49.5162,50.89619,50.896
sfsarp-30-15-1V1,45,9,3.28662,4.13093,1.598,3.45132,8.09131,6.98951,1.10191,0.87629,1.02144,0.87671,45.893,650.4622,20,0.8689,144.758,139.896,144.7581,144.758
sarp-40-20-A-2V1,60,10,1.91667,1.4325,2.885,13.21223,12.62493,11.95667,1.00948,1,1,0.97299,32.9,515.6333,20,0.87902,0,81.575,88.265,88.265
sarp-40-20-B-1V3,60,5,4.82833,4.34,5.805,25.10504,26.88619,25.90583,0.99052,1.04852,1.00581,0.96462,64.5,1884.06265,20,0.87792,127.354,126.848,127.354,127.354
sarp-6-3-C-1,9,3,10.96667,10.1,12.7,13.16,11.14286,10.91111,1,1,1,1.04616,28.8,324.0133,68.38889,0.61651,50.631,48.791,50.631,50.631
sarp-16-8-C-2,24,8,13.2,11.89375,15.8125,14.43091,14.01983,10.68472,0.96875,1,0.98182,0.86387,31.9,479.2629,61.20833,0.79002,162.704,146.742,162.704,162.704
sarp-50-25-A-1,75,9.375,1.74933,1.208,2.832,13.73209,12.50878,14.55617,0.99281,1.01753,1.00439,1.19233,33.5,533.46818,61.63333,0.907,0,121.941,0,128.488
sfsarp-40-20-2,60,8.57143,4.1582,4.52302,3.42855,6.95859,7.51448,8.2029,1.04587,1.10297,1.06535,1.05258,47.703,663.56576,63.69167,0.87363,0,213.635,0,225.876
sarp-50-25-A-2V1,75,9.375,1.79733,1.462,2.468,12.96567,13.73092,14.13717,1.02188,0.98247,1,1.00993,32.9,531.42142,20,0.9126,0,131.302,0,141.739
sarp-16-8-B-2V2,24,4,9.13333,8.725,9.95,24.94839,22.82252,26.44306,0.96875,1,0.96365,1.22204,58.6,1541.92259,55.9375,0.81248,88.41,78.75,88.41,88.41
sfsarp-12-6-5,18,6,1.88439,2.13658,1.38,3.68304,5.51103,6.08544,1,1,1,1.33353,23.1,62.96269,49.63889,0.73594,46.1559,43.9797,46.15588,46.156
sarp-40-20-A-1V2,60,6,3.615,3.55,3.745,26.61719,26.56823,25.89133,0.9906,1,0.98858,0.97101,65.7,1921.05156,59.15,0.90311,0,61.545,0,64.719
sarp-8-4-B-2,12,4,5.71667,4.05,9.05,18.78125,9.74444,13.40556,1,1,1,1.46888,31.5,395.70297,50.875,0.5904,35.208,34.518,35.208,35.208
sfsarp-6-3-3,9,3,8.47456,4.8125,15.79867,9.57817,11.49379,12.09078,1,1,0.92461,1.27678,47.507,197.57973,58.05556,0.57883,20.4807,20.4807,20.4806,20.481
sarp-20-10-B-1V1,30,10,4.25,3.445,5.86,13.23579,12.37923,13.80444,1,1,1.02793,1.14704,30.3,438.53371,20,0.84847,51.284,48.739,51.284,51.284
sarp-16-8-C-1V1,24,6,12.73333,12.2875,13.625,10.72927,13.43274,12.4375,1,1,1,1.04648,31.5,439.2115,20,0.78077,166.168,153.564,166.168,166.168
sarp-6-3-C-2,9,3,13.74444,11.36667,18.5,12.31,11.15714,14.32222,1,1,1,1.55052,23,210.53042,62.83333,0.65827,72.487,65.495,72.487,72.487
sarp-20-10-B-2V2,30,5,8.58667,6.8,12.16,24.635,25.62544,24.90611,1.02369,1,1,0.92564,58,1645.09323,72.38333,0.80367,110.999,102.402,110.999,110.999
sfsarp-40-20-2V1,60,8.57143,4.1582,4.52302,3.42855,6.95859,7.51448,8.2029,1.04587,1.10297,1.06535,1.05258,47.703,663.56576,20,0.87363,0,195.147,197.7719,197.772
sarp-30-15-A-2V1,45,9,2.11111,1.77,2.79333,13.53264,12.98148,13.73733,0.98641,1,1,1.09664,32,499.54381,20,0.83,72.452,69.002,72.452,72.452
sarp-20-10-A-2,30,10,2.68333,2.125,3.8,14.87426,13.67877,13.08778,1,1,1,0.97108,31.9,489.98542,58.1,0.84405,35.659,28.789,35.659,35.659
sfsarp-16-8-5V1,24,8,1.57171,1.64787,1.41938,6.65003,3.20155,6.22979,1.03448,1,1,2.03548,25.917,72.93522,20,0.76407,69.7438,69.7033,69.74375,69.744
sarp-50-25-A-1V2,75,6.25,2.98267,2.472,4.004,27.42595,25.65117,24.79989,1.01927,0.98277,1.01599,0.93815,67.1,2047.40076,55.05333,0.91054,0,119.911,0,129.569
sarp-20-10-B-1V3,30,5,8.19667,6.46,11.67,23.3125,22.95556,24.82056,1.02369,0.93979,0.98623,1.07404,52.5,1504.48917,20,0.77944,97.119,321.674,97.119,97.119
ghsarp-12-6-0,18,6,4.56533,3.993,5.71,10.17407,9.08668,8.97711,0.95351,1,0.97335,1.03245,27.148,192.51214,80.58333,0.77375,63.153,59.657,63.153,63.153
sarp-20-10-C-1V3,30,4.28571,26.44,26.285,26.75,22.74722,24.50867,23.73,1,0.93979,0.97283,0.94754,52.5,1491.0975,20,0.81983,365.888,76.862,365.888,365.888
sarp-16-8-A-1V3,24,4,6.02083,5.2875,7.4875,24.40667,25.1367,25.79792,1,1,0.98182,1.04543,64.8,1692.29859,20,0.79347,39.555,34.905,39.555,39.555
sarp-16-8-B-2V3,24,4,9.13333,8.725,9.95,24.94839,22.82252,26.44306,0.96875,1,0.96365,1.22204,58.6,1541.92259,20,0.81248,85.236,76.435,85.236,85.236
sarp-20-10-A-2V3,30,5,5.38667,4.75,6.66,25.59767,28.57267,26.52056,1,1.06406,1.02793,0.93231,58.7,1695.46562,20,0.79127,10.648,76.188,10.648,10.648
sarp-10-5-B-1,15,5,5.24,4.85,6.02,14.52,12.05227,15.60444,1,1,1,1.30027,28.3,390.06071,68.93333,0.77169,41.084,41.084,41.084,41.084
ghsarp-10-5-0,15,5,4.0276,4.1852,3.7124,7.29352,7.69118,5.97733,1,1,1,0.81156,24.32,164.6206,45.93333,0.79982,45.982,43.017,45.982,45.982
sarp-16-8-C-1V3,24,4,28.6125,27.6625,30.5125,23.07872,24.05766,27.34653,1.06667,1,1.05767,1.09933,63,1657.23825,20,0.77639,280.783,270.249,280.783,280.783
sfsarp-20-10-1,30,7.5,3.21467,4.17645,1.2911,6.34565,6.7088,6.90743,0.99084,1,1.00579,1.00151,38.786,294.40569,68.46667,0.81427,99.2073,98.0458,99.2078,99.207
sarp-30-15-C-2V1,45,9,13.18889,12.82,13.92667,11.76584,12.66675,13.71556,0.97283,1,0.95954,1.05276,33,496.42437,20,0.87693,0,288.79,309.59,309.59
sarp-12-6-B-2,18,6,5.48889,4.96667,6.53333,14.86571,11.27538,14.73519,1,1,1,1.46971,30.4,395.52449,38.77778,0.71164,50.155,50.155,50.155,50.155
sfsarp-8-4-1,12,4,1.72567,1.06462,3.04775,3.5785,4.68319,5.56,1,1,1,1.31216,12.347,41.49505,69.70833,0.58735,33.6897,33.6897,33.68967,33.69
sarp-50-25-B-1V2,75,6.25,5.03333,4.188,6.724,26.62333,25.64559,26.88456,1.00719,1.01753,1.00437,1.04322,66,2018.30116,64.79333,0.90697,0,174.569,0,198.882
sfsarp-30-15-1,45,9,3.28662,4.13093,1.598,3.45132,8.09131,6.98951,1.10191,0.87629,1.02144,0.87671,45.893,650.4622,66.1,0.8689,0,140.961,0,146.265
sfsarp-12-6-4,18,6,3.53211,4.30125,1.99383,8.34026,4.50997,7.57672,1,1.17377,1,1.19075,24.886,86.60056,56.36111,0.73316,53.573,52.7533,53.573,53.573
sarp-30-15-B-2V2,45,5,6.80667,5.66667,9.08667,24.11461,26.98193,25.62494,1,1.03533,1.00823,0.98742,63.2,1868.23224,62.28889,0.85748,0,118.479,125.839,125.839
sarp-10-5-B-2,15,5,7.46,5.35,11.68,12.3,12.0625,13.45556,1,1,0.96587,1.21704,26.8,357.85851,75.9,0.59595,47.925,43.279,47.925,47.925
sarp-60-30-B-2V3,90,5,3.93111,3.75833,4.27667,25.32807,26.61115,27.5363,1,1.01377,1.01413,1.02051,67.3,1975.16503,20,0.89874,0,203.28,0,216.583
sarp-30-15-A-1V1,45,9,1.94667,1.65,2.54,14.49395,12.76178,11.60889,0.98641,1,0.98368,0.93058,29.6,484.74463,20,0.87328,68.2,65.594,68.2,68.2
sfsarp-40-20-5,60,8.57143,3.64082,3.99865,2.92515,4.56431,6.53673,7.55488,0.98235,1.0364,1.03989,1.10553,38.757,551.39369,60.29167,0.88916,0,211.798,0,216.508
sfsarp-50-25-2V1,75,9.375,2.05757,2.07882,2.01508,5.3331,4.99378,6.55007,1.09806,0.95518,1.07034,1.38309,28.95,139.53647,20,0.88113,0,239.34,0,242.318
sfsarp-10-5-2,15,5,3.15613,3.9186,1.6312,3.2177,6.72227,6.499,1,1,1,1.02058,25.117,68.75731,62.6,0.70267,42.5924,42.3744,42.5924,42.592
sarp-16-8-C-2V3,24,4,24.375,23.71875,25.6875,24.80556,23.96842,29.34514,1,1,1,1.34,58.6,1582.62236,20,0.79682,226.187,210.087,226.187,226.187
sfsarp-50-25-4V1,75,8.33333,2.10701,1.88846,2.54412,5.244,3.84655,6.46556,1.02035,1.06536,1.04072,1.55303,30.51,311.78476,20,0.8801,0,224.129,0,230.871
sarp-20-10-B-2,30,10,4.12,3.345,5.67,10.86571,11.86304,11.79222,1.02369,1,1.01377,1.00942,27.8,423.45693,65.31667,0.84642,0,56.369,65.446,65.446
sfsarp-20-10-4,30,7.5,2.66977,2.3783,3.2527,3.09951,6.50452,6.7675,1.06283,1,1.08086,1.02146,48.973,206.3464,69.66667,0.79064,0,86.7667,87.68482,87.685
sarp-30-15-A-2V2,45,5.625,4.22667,3.69,5.3,26.15304,25.90101,25.55278,1.01377,0.96587,1.00829,0.9662,64,1906.02909,51.82222,0.80235,0,56.586,66.614,66.614
sfsarp-12-6-2,18,6,3.75228,5.10392,1.049,8.20035,7.53075,7.09622,1,1,1.02738,1.01935,25.194,83.79848,63.69444,0.7207,63.6379,60.7965,63.6379,63.638
sarp-40-20-A-2V3,60,6,3.32,2.76,4.44,24.88667,26.10333,27.48333,1.01915,0.97686,1.01161,1.04503,59.9,1846.06184,20,0.8829,83.214,74.406,83.214,83.214
sarp-16-8-A-1,24,8,2.68333,2.53125,2.9875,14.55938,11.31913,15.30972,1,1,1,1.37521,31.5,455.14877,58.0625,0.81543,19.011,19.011,19.011,19.011
sfsarp-50-25-3,75,8.33333,4.88179,4.60162,5.44212,7.20018,6.43523,7.69383,1.08078,1.11833,1.08073,1.17104,50.588,577.86707,54.42,0.90559,0,301.054,0,327.526
sarp-6-3-A-2,9,3,5.11111,3.76667,7.8,10.63333,8.64167,11.27037,1,1,1,1.26511,20.4,177.17815,43.55556,0.559,34.128,34.128,34.128,34.128
sarp-50-25-C-2V3,75,4.6875,25.64667,26.83,23.28,24.37185,27.10789,25.32467,1.02188,1.01753,1.01324,0.92404,66.9,1962.80964,20,0.90337,0,936.793,1031.141,1031.141
sarp-40-20-A-1V1,60,10,1.83667,1.5825,2.345,12.65455,12.62141,12.455,1.00958,1,1,0.96309,32,500.49036,20,0.89298,94.964,88.864,94.964,94.964
sarp-50-25-A-2V2,75,6.25,3.4,2.572,5.056,24.32281,25.62283,24.93178,1,1,1.00434,0.97236,63.3,1859.16581,64.14667,0.91645,0,92.667,0,111.862
sarp-12-6-A-1,18,6,3.75556,3,5.26667,16.8125,14.51094,12.16852,1,1,1,0.86555,28.8,411.193,61.69444,0.75682,23.689,22.92,23.689,23.689
sfsarp-8-4-4,12,4,1.8175,1.20537,3.04175,5.67418,2.09161,6.23217,1,1,1,3.27633,9.306,30.2567,40.16667,0.69312,32.0838,28.3679,32.08377,32.084
sarp-40-20-C-1V2,60,5,23.36667,24.0525,21.995,21.04571,24.44687,27.79486,1.00948,1,1.01148,1.0743,65.7,1895.56712,62.725,0.89273,0,718.138,0,784.194
ghsarp-12-6-4,18,6,5.32722,4.03617,7.90933,10.92733,7.45102,14.00867,0.95351,1,0.97335,2.08055,23.086,236.09795,66.47222,0.7236,57.126,52.949,57.126,57.126
sarp-30-15-A-2V3,45,5.625,4.22667,3.69,5.3,26.15304,25.90101,25.55278,1.01377,0.96587,1.00829,0.9662,64,1906.02909,20,0.80235,61.258,48.197,61.258,61.258
sarp-30-15-C-2,45,9,13.18889,12.82,13.92667,11.76584,12.66675,13.71556,0.97283,1,0.95954,1.05276,33,496.42437,56.54444,0.87693,0,337.013,0,351.969
sfsarp-8-4-2,12,4,1.14125,1.11362,1.1965,4.3173,3.957,5.29408,1,1,1,1.68669,8.206,29.96926,47.54167,0.60813,29.6884,29.4795,29.68834,29.688
sarp-60-30-A-2V3,90,5,3.02,2.50333,4.05333,24.32603,24.89796,25.23537,1.00571,1.02793,1.00699,1.00405,67,1967.24411,20,0.91447,179.911,167.364,249.003,179.911
sarp-50-25-C-1,75,8.33333,13.144,13.414,12.604,13.71397,12.95322,13.46563,1.00729,0.98277,1,1.08971,33.5,527.28292,60.57333,0.89687,0,635.868,0,645.666
sarp-40-20-C-1V1,60,10,12.62,11.7225,14.415,11.66265,12.62687,12.52944,1,1,0.96931,0.99206,33.6,538.18193,20,0.92519,0,419.654,456.592,453.28
sarp-30-15-B-1,45,9,3.46444,2.95667,4.48,13.03955,13.03669,12.20756,1.01377,1,1.01645,0.95784,32.5,490.25047,68.94444,0.89211,0,91.597,0,106.751
sfsarp-40-20-4,60,10,2.93253,3.71855,1.3605,6.3659,7.31509,6.86295,1.01964,1.06862,1.06496,0.98575,37.414,347.13341,67.05,0.89624,0,190.126,0,194.62
sfsarp-16-8-3,24,8,3.56396,4.88381,0.92425,5.21556,7.87267,6.0605,1,1,1.01886,1.13942,24.491,57.56724,60.97917,0.78668,95.3769,92.0856,95.37692,95.377
ghsarp-12-6-1,18,6,4.37067,3.92617,5.25967,6.37891,8.27531,7.22911,1,1,1,0.93274,21.412,209.27748,59.25,0.77821,62.077,61.754,62.077,62.076
sarp-30-15-C-2V3,45,5.625,25.5,25.93,24.64,23.98057,23.01103,24.86194,1.01377,1.03533,1.01659,0.97825,64,1951.61271,20,0.8273,0,391.511,471.888,471.888
sarp-12-6-C-1,18,6,13.40556,14.5,11.21667,10.91389,13.70161,11.5463,0.95351,1,0.97335,1.07051,29.7,380.35596,47.41667,0.732,110.079,109.113,110.079,110.079
sarp-50-25-B-2,75,9.375,2.45467,1.994,3.376,12.20825,13.66801,14.35467,0.99286,1,0.98258,1.04332,32,515.29697,60.29333,0.92451,0,176.159,0,184.601
sarp-30-15-B-1V1,45,9,3.46444,2.95667,4.48,13.03955,13.03669,12.20756,1.01377,1,1.01645,0.95784,32.5,490.25047,20,0.89211,97.896,81.309,97.896,97.896
sarp-10-5-A-1,15,5,4.3,4.34,4.22,13.14091,12.14286,16.22667,1,1,1,1.40889,28,353.60491,55.06667,0.73718,24.903,24.172,24.903,24.903
sarp-40-20-B-2,60,10,2.55833,2.0875,3.5,13.48371,12.22183,11.64028,0.9906,1.03373,1.01384,0.9615,32.9,511.79072,54.575,0.87726,0,116.983,0,124.712
sfsarp-20-10-4V1,30,7.5,2.66977,2.3783,3.2527,3.09951,6.50452,6.7675,1.06283,1,1.08086,1.02146,48.973,206.3464,20,0.79064,82.4017,81.3189,82.40172,82.306
sfsarp-16-8-4,24,8,2.0625,2.63938,0.90875,2.88882,3.65672,5.40258,1,1,1.0196,1.31441,24.03,74.46527,68.58333,0.77437,73.3792,71.9633,73.37916,73.379
sarp-30-15-A-1V2,45,5.625,4.46,3.62333,6.13333,25.25657,27.33042,24.96639,0.97283,1,0.98368,0.94558,60.4,1811.75749,59.57778,0.88274,0,56.687,65.713,65.713
sfsarp-10-5-3,15,5,1.6444,1.3835,2.1662,5.50188,5.54944,5.74853,1,1,1,0.92758,24.313,54.65688,46.36667,0.70433,37.891,37.8795,37.89101,37.891
sfsarp-50-25-5V1,75,8.33333,5.58419,6.36262,4.02732,7.6736,9.88696,8.17977,0.99662,1.09846,1.04299,0.96451,49.935,221.47713,20,0.87463,0,316.546,0,334.925
sarp-20-10-B-1,30,10,4.25,3.445,5.86,13.23579,12.37923,13.80444,1,1,1.02793,1.14704,30.3,438.53371,52.93333,0.84847,60.116,56.007,60.116,60.116
sarp-40-20-C-2,60,7.5,12.80667,12.64,13.14,12.81551,13.09445,12.3525,1,1.02369,0.99426,0.96013,31.1,476.42826,61.675,0.89927,0,483.072,0,509.154
sarp-60-30-C-2V3,90,5,26.34444,27.37833,24.27667,24.9702,26.16863,27.1887,1.00589,1,0.99559,1.01532,65.8,1940.75959,20,0.91614,0,1112.33,2006.041,1250.4
sarp-20-10-C-2V1,30,6,12.60333,11.235,15.34,11.07576,12.555,13.52333,1,1,1.01397,1.07045,31.7,444.37567,20,0.81151,219.123,210.747,219.123,219.123
sarp-30-15-B-1V2,45,5.625,5.94889,4.71,8.42667,25.73941,25.90392,26.25472,0.97245,1,0.97512,1.03765,59.4,1799.15458,47.46667,0.86325,113.19,104.31,113.19,113.19
sfsarp-30-15-4,45,9,3.36389,4.46967,1.15233,4.36547,7.91256,7.12671,1.01095,0.92396,1.00666,0.89148,37.392,308.31297,61.86667,0.8706,0,144.086,0,147.358
sarp-16-8-A-1V2,24,4,6.02083,5.2875,7.4875,24.40667,25.1367,25.79792,1,1,0.98182,1.04543,64.8,1692.29859,69.47917,0.79347,41.257,38.313,41.257,41.257
sarp-50-25-B-2V3,75,6.25,5.184,4.128,7.296,24.38147,26.64177,23.731,1.01448,1,1.00436,0.90215,63.3,1888.74728,20,0.91528,0,148.085,172.219,172.219
sfsarp-10-5-5,15,5,2.11293,2.5012,1.3364,7.26555,7.48926,7.02813,0.93979,0.82773,0.916,0.7601,37.989,223.24424,42.2,0.70433,22.6781,22.6781,22.678,22.678
sarp-16-8-B-1V3,24,4,8.4125,7.1125,11.0125,26.554,24.12727,24.97222,1,1,1,1.05896,59.1,1600.39853,20,0.77333,65.065,62.857,65.065,65.065
ghsarp-6-3-1,9,3,4.09422,4.37067,3.54133,6.72486,6.88787,8.26222,1,1,1,1.42135,15.292,84.16246,63.72222,0.65039,30.519,30.242,30.519,30.519
sfsarp-20-10-5V1,30,10,2.85347,3.48675,1.5869,3.5414,8.13802,7.0683,1.02426,1.1369,1.0431,1.03954,25.384,104.9716,20,0.82259,79.1429,78.4437,79.1429,79.143
sarp-40-20-C-2V3,60,6,25.315,22.445,31.055,25.42,25.80729,28.25317,1,0.96737,0.9805,1.0975,64.2,1932.49675,20,0.91649,0,545.238,638.633,638.239
sarp-40-20-A-1,60,10,1.83667,1.5825,2.345,12.65455,12.62141,12.455,1.00958,1,1,0.96309,32,500.49036,55.23333,0.89298,0,90.947,0,96.909
sarp-40-20-B-2V2,60,6,6.045,4.605,8.925,26.95216,26.80688,25.06983,0.9906,0.97686,0.98061,0.94667,64.2,1903.03229,52.29167,0.88193,0,134.485,0,152.011
sarp-50-25-A-1V1,75,9.375,1.74933,1.208,2.832,13.73209,12.50878,14.55617,0.99281,1.01753,1.00439,1.19233,33.5,533.46818,20,0.907,0,112.157,119.482,119.482
ghsarp-10-5-4,15,5,4.9572,5.4124,4.0468,12.84862,11.2481,6.81867,0.93979,1,0.96587,0.80656,26.682,209.73956,46.63333,0.73963,42.391,42.391,42.391,42.391
sfsarp-40-20-3V1,60,8.57143,2.14895,2.52755,1.39175,4.26283,5.80302,6.4947,0.93257,0.94767,0.94927,1.21628,46.276,219.76208,20,0.84563,0,175.363,176.0543,175.906
sarp-30-15-A-1,45,9,1.94667,1.65,2.54,14.49395,12.76178,11.60889,0.98641,1,0.98368,0.93058,29.6,484.74463,57.74444,0.87328,0,66.376,0,70.654
sarp-40-20-B-2V3,60,6,6.045,4.605,8.925,26.95216,26.80688,25.06983,0.9906,0.97686,0.98061,0.94667,64.2,1903.03229,20,0.88193,0,113.072,128.739,128.739
sarp-16-8-C-2V1,24,8,13.2,11.89375,15.8125,14.43091,14.01983,10.68472,0.96875,1,0.98182,0.86387,31.9,479.2629,20,0.79002,133.609,123.544,133.609,133.609
sarp-20-10-A-1V3,30,5,4.77333,3.755,6.81,22.86759,25.01829,27.07611,1,1,1,1.14152,53.5,1507.07112,20,0.83901,22.26,11.941,22.26,22.26
