,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55
P10,1.12,1.13,3.667,2.521,5.884,1.362,4.04,3.183,2.119,2.37,0.0,6.141,1.556,0.108,1.556,2.096,0.703,1.159,4.436,2.441,5.851,1.675,3.028,2.593,2.094,4.505,1.172,4.793,1.481,2.42,1.481,2.485,1.594,3.142,3.142,15.85,1.594,2.287,2.19,4.459,1.594,2.991,2.991,15.796,1.594,2.113,1.993,5.23,6.938,6.938,6.938,6.938,0,0,0,0
P11,5.243,7.272,2.474,8.662,5.675,7.503,6.963,5.71,7.128,5.546,6.141,0.0,6.498,6.034,6.498,8.237,6.704,7.3,2.682,8.582,5.642,4.467,8.815,5.524,8.236,5.164,7.314,1.348,6.468,8.406,6.468,8.626,4.548,9.283,9.283,15.8,4.548,8.429,6.015,1.683,4.548,9.132,9.132,15.746,4.548,7.011,7.868,2.42,6.887,6.887,6.887,6.887,0,0,0,0
P12,2.675,0.774,4.024,2.164,6.241,1.005,2.484,4.739,0.63,3.926,1.556,6.498,0.0,1.641,0.0,1.739,2.258,0.802,4.793,2.084,6.208,2.653,2.317,4.149,1.737,2.949,0.816,5.15,0.075,1.908,0.075,2.778,1.951,2.785,2.785,14.293,1.951,1.931,3.746,4.816,1.951,2.634,2.634,14.24,1.951,0.557,1.37,5.587,5.383,5.383,5.383,5.383,0,0,0,0
P13,1.034,1.238,3.56,2.628,5.812,1.47,4.125,3.098,2.204,2.285,0.108,6.034,1.641,0.0,1.641,2.204,0.67,1.267,4.329,2.548,5.778,1.567,3.114,2.508,2.202,4.591,1.28,4.685,1.566,2.505,1.566,2.593,1.644,3.249,3.249,15.935,1.644,2.395,2.105,4.351,1.644,3.098,3.098,15.881,1.644,2.198,2.078,5.123,7.024,7.024,7.024,7.024,0,0,0,0
P14,2.675,0.774,4.024,2.164,6.241,1.005,2.484,4.739,0.63,3.926,1.556,6.498,0.0,1.641,0.0,1.739,2.258,0.802,4.793,2.084,6.208,2.653,2.317,4.149,1.737,2.949,0.816,5.15,0.075,1.908,0.075,2.778,1.951,2.785,2.785,14.293,1.951,1.931,3.746,4.816,1.951,2.634,2.634,14.24,1.951,0.557,1.37,5.587,5.383,5.383,5.383,5.383,0,0,0,0
P15,2.994,0.966,5.764,1.645,7.981,0.997,3.697,3.525,1.776,2.713,2.096,8.237,1.739,2.204,1.739,0.0,1.534,0.937,6.533,1.743,7.948,3.771,2.686,2.935,0.686,4.163,0.924,6.889,1.77,2.077,1.77,1.564,3.69,1.046,1.046,15.506,3.69,1.212,2.532,6.555,3.69,0.895,0.895,15.453,3.69,1.77,1.65,7.326,6.596,6.596,6.596,6.596,0,0,0,0
P16,1.46,1.678,4.23,2.691,6.447,2.043,4.742,2.48,2.822,1.667,0.703,6.704,2.258,0.67,2.258,1.534,0.0,1.684,4.999,2.788,6.413,2.237,3.731,1.89,1.731,5.208,1.653,5.355,2.184,3.123,2.184,1.923,2.262,2.579,2.579,16.552,2.262,2.257,1.487,5.021,2.262,2.428,2.428,16.499,2.262,2.816,2.696,5.793,7.641,7.641,7.641,7.641,0,0,0,0
P17,2.101,0.029,4.826,1.362,7.044,0.358,3.058,4.164,1.137,3.352,1.159,7.3,0.802,1.267,0.802,0.937,1.684,0.0,5.596,1.282,7.01,2.834,2.047,3.574,0.935,3.524,0.031,5.952,0.833,1.438,0.833,2.203,2.753,1.983,1.983,14.867,2.753,1.128,3.171,5.618,2.753,1.832,1.832,14.814,2.753,1.131,1.011,6.389,5.957,5.957,5.957,5.957,0,0,0,0
P18,3.854,5.567,0.769,6.958,2.992,5.799,5.257,5.918,5.423,5.105,4.436,2.682,4.793,4.329,4.793,6.533,4.999,5.596,0.0,6.878,2.959,3.832,7.11,5.328,6.531,3.459,5.609,3.399,4.763,6.701,4.763,6.922,2.843,7.578,7.578,13.117,2.843,6.724,4.925,2.487,2.843,7.427,7.427,13.063,2.843,5.306,6.163,5.102,4.205,4.205,4.205,4.205,0,0,0,0
P19,3.338,1.31,6.108,0.098,8.326,1.079,1.954,5.269,1.454,4.456,2.441,8.582,2.084,2.548,2.084,1.743,2.788,1.282,6.878,0.0,8.292,4.115,0.943,4.678,1.057,3.419,1.268,7.234,2.114,0.334,2.114,3.307,4.035,2.473,2.473,13.762,4.035,0.531,4.275,6.9,4.035,1.936,1.936,13.709,4.035,1.571,0.714,7.671,4.852,4.852,4.852,4.852,0,0,0,0
P20,6.813,6.982,3.5,8.372,0.033,7.213,6.672,8.877,6.838,8.064,5.851,5.642,6.208,5.778,6.208,7.948,6.413,7.01,2.959,8.292,0.0,6.791,8.525,8.287,7.946,4.873,7.024,6.358,6.178,8.116,6.178,8.336,4.257,8.993,8.993,10.158,4.257,8.139,7.884,5.446,4.257,8.842,8.842,10.104,4.257,6.721,7.578,8.061,3.932,3.932,3.932,3.932,0,0,0,0
P21,0.777,2.805,3.291,4.195,6.824,3.037,5.137,2.086,3.216,1.273,1.675,4.467,2.653,1.567,2.653,3.771,2.237,2.834,3.832,4.115,6.791,0.0,4.348,1.496,3.769,5.603,2.847,3.118,2.578,3.939,2.578,4.16,2.656,4.816,4.816,16.948,2.656,3.962,1.549,2.784,2.656,4.665,4.665,16.894,2.656,3.21,3.401,3.556,8.036,8.036,8.036,8.036,0,0,0,0
P22,4.148,2.054,6.341,1.04,8.559,1.689,1.853,6.211,1.687,5.399,3.028,8.815,2.317,3.114,2.317,2.686,3.731,2.047,7.11,0.943,8.525,4.348,0.0,5.621,2.0,3.652,2.078,7.467,2.347,0.609,2.347,4.25,4.267,3.416,3.416,12.819,4.267,1.474,5.218,7.132,4.267,2.879,2.879,12.765,4.267,1.804,1.036,7.904,4.593,4.593,4.593,4.593,0,0,0,0
P23,1.473,3.568,4.787,4.581,8.32,3.933,6.633,0.59,4.712,0.223,2.593,5.524,4.149,2.508,4.149,2.935,1.89,3.574,5.328,4.678,8.287,1.496,5.621,0.0,3.621,7.098,3.543,4.175,4.074,5.013,4.074,3.102,4.152,3.759,3.759,18.444,4.152,4.148,0.492,3.841,4.152,3.608,3.608,18.39,4.152,4.706,4.586,4.613,9.532,9.532,9.532,9.532,0,0,0,0
P24,2.992,0.964,5.762,0.959,7.979,0.732,3.011,4.212,1.108,3.399,2.094,8.236,1.737,2.202,1.737,0.686,1.731,0.935,6.531,1.057,7.946,3.769,2.0,3.621,0.0,3.476,0.922,6.887,1.768,1.391,1.768,2.251,3.688,1.416,1.416,14.82,3.688,0.526,3.218,6.553,3.688,0.897,0.897,14.766,3.688,1.225,0.964,7.325,5.909,5.909,5.909,5.909,0,0,0,0
P25,5.625,3.53,2.69,3.499,4.907,3.165,1.799,7.689,2.386,6.876,4.505,5.164,2.949,4.591,2.949,4.163,5.208,3.524,3.459,3.419,4.873,5.603,3.652,7.098,3.476,0.0,3.555,5.17,3.024,3.243,3.024,5.727,2.947,4.893,4.893,11.344,2.947,3.266,6.695,4.258,2.947,4.355,4.355,11.29,2.947,2.392,2.705,6.873,2.433,2.433,2.433,2.433,0,0,0,0
P26,2.07,0.042,4.84,1.348,7.057,0.389,3.089,4.134,1.168,3.321,1.172,7.314,0.816,1.28,0.816,0.924,1.653,0.031,5.609,1.268,7.024,2.847,2.078,3.543,0.922,3.555,0.0,5.965,0.846,1.469,0.846,2.172,2.766,1.97,1.97,14.898,2.766,1.115,3.14,5.631,2.766,1.819,1.819,14.845,2.766,1.162,1.042,6.403,5.988,5.988,5.988,5.988,0,0,0,0
P27,3.895,5.923,2.858,7.314,6.391,6.155,5.614,4.362,5.78,4.198,4.793,1.348,5.15,4.685,5.15,6.889,5.355,5.952,3.399,7.234,6.358,3.118,7.467,4.175,6.887,5.17,5.965,0.0,5.119,7.058,5.119,7.278,3.199,7.935,7.935,16.516,3.199,7.08,4.667,0.912,3.199,7.784,7.784,16.462,3.199,5.663,6.52,1.703,7.603,7.603,7.603,7.603,0,0,0,0
P28,2.6,0.804,3.994,2.194,6.211,1.036,2.559,4.664,0.66,3.851,1.481,6.468,0.075,1.566,0.075,1.77,2.184,0.833,4.763,2.114,6.178,2.578,2.347,4.074,1.768,3.024,0.846,5.119,0.0,1.938,0.0,2.703,1.92,2.816,2.816,14.368,1.92,1.961,3.671,4.785,1.92,2.665,2.665,14.315,1.92,0.632,1.4,5.557,5.457,5.457,5.457,5.457,0,0,0,0
P29,3.54,1.445,5.932,0.432,8.149,1.08,1.62,5.603,1.278,4.79,2.42,8.406,1.908,2.505,1.908,2.077,3.123,1.438,6.701,0.334,8.116,3.939,0.609,5.013,1.391,3.243,1.469,7.058,1.938,0.0,1.938,3.642,3.858,2.807,2.807,13.428,3.858,0.865,4.61,6.723,3.858,2.27,2.27,13.374,3.858,1.395,0.538,7.495,4.518,4.518,4.518,4.518,0,0,0,0
P30,2.6,0.804,3.994,2.194,6.211,1.036,2.559,4.664,0.66,3.851,1.481,6.468,0.075,1.566,0.075,1.77,2.184,0.833,4.763,2.114,6.178,2.578,2.347,4.074,1.768,3.024,0.846,5.119,0.0,1.938,0.0,2.703,1.92,2.816,2.816,14.368,1.92,1.961,3.671,4.785,1.92,2.665,2.665,14.315,1.92,0.632,1.4,5.557,5.457,5.457,5.457,5.457,0,0,0,0
P31,3.383,2.197,6.153,3.21,8.37,2.562,5.261,2.915,3.341,3.079,2.485,8.626,2.778,2.593,2.778,1.564,1.923,2.203,6.922,3.307,8.336,4.16,4.25,3.102,2.251,5.727,2.172,7.278,2.703,3.642,2.703,0.0,4.079,0.834,0.834,17.071,4.079,2.777,2.611,6.944,4.079,1.371,1.371,17.017,4.079,3.335,3.215,7.715,8.16,8.16,8.16,8.16,0,0,0,0
P32,2.678,2.724,2.074,4.115,4.291,2.956,2.481,4.742,2.58,3.929,1.594,4.548,1.951,1.644,1.951,3.69,2.262,2.753,2.843,4.035,4.257,2.656,4.267,4.152,3.688,2.947,2.766,3.199,1.92,3.858,1.92,4.079,0.0,4.736,4.736,14.291,0.0,3.881,3.749,2.865,0.0,4.585,4.585,14.238,0.0,2.464,3.32,3.926,5.38,5.38,5.38,5.38,0,0,0,0
P33,4.04,2.012,6.809,2.376,9.027,1.78,4.427,3.572,2.506,3.736,3.142,9.283,2.785,3.249,2.785,1.046,2.579,1.983,7.578,2.473,8.993,4.816,3.416,3.759,1.416,4.893,1.97,7.935,2.816,2.807,2.816,0.834,4.736,0.0,0.0,16.236,4.736,1.942,3.267,7.601,4.736,0.537,0.537,16.182,4.736,2.501,2.38,8.372,7.326,7.326,7.326,7.326,0,0,0,0
P34,4.04,2.012,6.809,2.376,9.027,1.78,4.427,3.572,2.506,3.736,3.142,9.283,2.785,3.249,2.785,1.046,2.579,1.983,7.578,2.473,8.993,4.816,3.416,3.759,1.416,4.893,1.97,7.935,2.816,2.807,2.816,0.834,4.736,0.0,0.0,16.236,4.736,1.942,3.267,7.601,4.736,0.537,0.537,16.182,4.736,2.501,2.38,8.372,7.326,7.326,7.326,7.326,0,0,0,0
P35,16.97,14.874,13.657,13.86,10.124,14.509,11.809,19.034,13.73,18.221,15.85,15.8,14.293,15.935,14.293,15.506,16.552,14.867,13.117,13.762,10.158,16.948,12.819,18.444,14.82,11.344,14.898,16.516,14.368,13.428,14.368,17.071,14.291,16.236,16.236,0.0,14.291,14.293,18.04,15.604,14.291,15.699,15.699,0.124,14.291,13.736,13.855,18.219,8.91,8.91,8.91,8.91,0,0,0,0
P36,2.678,2.724,2.074,4.115,4.291,2.956,2.481,4.742,2.58,3.929,1.594,4.548,1.951,1.644,1.951,3.69,2.262,2.753,2.843,4.035,4.257,2.656,4.267,4.152,3.688,2.947,2.766,3.199,1.92,3.858,1.92,4.079,0.0,4.736,4.736,14.291,0.0,3.881,3.749,2.865,0.0,4.585,4.585,14.238,0.0,2.464,3.32,3.926,5.38,5.38,5.38,5.38,0,0,0,0
P37,3.185,1.157,5.955,0.433,8.172,0.925,2.485,4.738,1.301,3.925,2.287,8.429,1.931,2.395,1.931,1.212,2.257,1.128,6.724,0.531,8.139,3.962,1.474,4.148,0.526,3.266,1.115,7.08,1.961,0.865,1.961,2.777,3.881,1.942,1.942,14.293,3.881,0.0,3.745,6.746,3.881,1.405,1.405,14.24,3.881,1.418,0.561,7.518,5.383,5.383,5.383,5.383,0,0,0,0
P38,1.07,3.165,4.384,4.178,7.917,3.53,6.23,0.993,4.309,0.469,2.19,6.015,3.746,2.105,3.746,2.532,1.487,3.171,4.925,4.275,7.884,1.549,5.218,0.492,3.218,6.695,3.14,4.667,3.671,4.61,3.671,2.611,3.749,3.267,3.267,18.04,3.749,3.745,0.0,4.333,3.749,3.116,3.116,17.987,3.749,4.303,4.183,5.105,9.129,9.129,9.129,9.129,0,0,0,0
P39,3.561,5.589,1.946,6.98,5.479,5.821,5.28,4.028,5.446,3.864,4.459,1.683,4.816,4.351,4.816,6.555,5.021,5.618,2.487,6.9,5.446,2.784,7.132,3.841,6.553,4.258,5.631,0.912,4.785,6.723,4.785,6.944,2.865,7.601,7.601,15.604,2.865,6.746,4.333,0.0,2.865,7.45,7.45,15.55,2.865,5.329,6.185,2.615,6.692,6.692,6.692,6.692,0,0,0,0
P40,2.678,2.724,2.074,4.115,4.291,2.956,2.481,4.742,2.58,3.929,1.594,4.548,1.951,1.644,1.951,3.69,2.262,2.753,2.843,4.035,4.257,2.656,4.267,4.152,3.688,2.947,2.766,3.199,1.92,3.858,1.92,4.079,0.0,4.736,4.736,14.291,0.0,3.881,3.749,2.865,0.0,4.585,4.585,14.238,0.0,2.464,3.32,3.926,5.38,5.38,5.38,5.38,0,0,0,0
P41,3.888,1.861,6.658,1.839,8.876,1.629,3.89,3.421,2.004,3.585,2.991,9.132,2.634,3.098,2.634,0.895,2.428,1.832,7.427,1.936,8.842,4.665,2.879,3.608,0.897,4.355,1.819,7.784,2.665,2.27,2.665,1.371,4.585,0.537,0.537,15.699,4.585,1.405,3.116,7.45,4.585,0.0,0.0,15.645,4.585,2.121,1.843,8.221,6.788,6.788,6.788,6.788,0,0,0,0
P42,3.888,1.861,6.658,1.839,8.876,1.629,3.89,3.421,2.004,3.585,2.991,9.132,2.634,3.098,2.634,0.895,2.428,1.832,7.427,1.936,8.842,4.665,2.879,3.608,0.897,4.355,1.819,7.784,2.665,2.27,2.665,1.371,4.585,0.537,0.537,15.699,4.585,1.405,3.116,7.45,4.585,0.0,0.0,15.645,4.585,2.121,1.843,8.221,6.788,6.788,6.788,6.788,0,0,0,0
P43,16.916,14.82,13.604,13.806,10.071,14.455,11.755,18.98,13.676,18.167,15.796,15.746,14.24,15.881,14.24,15.453,16.499,14.814,13.063,13.709,10.104,16.894,12.765,18.39,14.766,11.29,14.845,16.462,14.315,13.374,14.315,17.017,14.238,16.182,16.182,0.124,14.238,14.24,17.987,15.55,14.238,15.645,15.645,0.0,14.238,13.682,13.802,18.166,8.856,8.856,8.856,8.856,0,0,0,0
P44,2.678,2.724,2.074,4.115,4.291,2.956,2.481,4.742,2.58,3.929,1.594,4.548,1.951,1.644,1.951,3.69,2.262,2.753,2.843,4.035,4.257,2.656,4.267,4.152,3.688,2.947,2.766,3.199,1.92,3.858,1.92,4.079,0.0,4.736,4.736,14.291,0.0,3.881,3.749,2.865,0.0,4.585,4.585,14.238,0.0,2.464,3.32,3.926,5.38,5.38,5.38,5.38,0,0,0,0
P45,3.233,1.138,4.537,1.651,6.754,0.773,1.927,5.296,0.117,4.483,2.113,7.011,0.557,2.198,0.557,1.77,2.816,1.131,5.306,1.571,6.721,3.21,1.804,4.706,1.225,2.392,1.162,5.663,0.632,1.395,0.632,3.335,2.464,2.501,2.501,13.736,2.464,1.418,4.303,5.329,2.464,2.121,2.121,13.682,2.464,0.0,0.857,6.1,4.825,4.825,4.825,4.825,0,0,0,0
P46,3.113,1.018,5.394,0.794,7.611,0.653,2.047,5.176,0.74,4.363,1.993,7.868,1.37,2.078,1.37,1.65,2.696,1.011,6.163,0.714,7.578,3.401,1.036,4.586,0.964,2.705,1.042,6.52,1.4,0.538,1.4,3.215,3.32,2.38,2.38,13.855,3.32,0.561,4.183,6.185,3.32,1.843,1.843,13.802,3.32,0.857,0.0,6.957,4.945,4.945,4.945,4.945,0,0,0,0
P47,4.333,6.361,4.561,7.751,8.094,6.592,6.407,4.799,6.217,4.636,5.23,2.42,5.587,5.123,5.587,7.326,5.793,6.389,5.102,7.671,8.061,3.556,7.904,4.613,7.325,6.873,6.403,1.703,5.557,7.495,5.557,7.715,3.926,8.372,8.372,18.219,3.926,7.518,5.105,2.615,3.926,8.221,8.221,18.166,3.926,6.1,6.957,0.0,9.306,9.306,9.306,9.306,0,0,0,0
P48,8.058,5.963,4.746,4.95,3.966,5.598,2.898,10.122,4.819,9.309,6.938,6.887,5.383,7.024,5.383,6.596,7.641,5.957,4.205,4.852,3.932,8.036,4.593,9.532,5.909,2.433,5.988,7.603,5.457,4.518,5.457,8.16,5.38,7.326,7.326,8.91,5.38,5.383,9.129,6.692,5.38,6.788,6.788,8.856,5.38,4.825,4.945,9.306,0.0,0.0,0.0,0.0,0,0,0,0
P49,8.058,5.963,4.746,4.95,3.966,5.598,2.898,10.122,4.819,9.309,6.938,6.887,5.383,7.024,5.383,6.596,7.641,5.957,4.205,4.852,3.932,8.036,4.593,9.532,5.909,2.433,5.988,7.603,5.457,4.518,5.457,8.16,5.38,7.326,7.326,8.91,5.38,5.383,9.129,6.692,5.38,6.788,6.788,8.856,5.38,4.825,4.945,9.306,0.0,0,0,0,0,0,0,0
P50,8.058,5.963,4.746,4.95,3.966,5.598,2.898,10.122,4.819,9.309,6.938,6.887,5.383,7.024,5.383,6.596,7.641,5.957,4.205,4.852,3.932,8.036,4.593,9.532,5.909,2.433,5.988,7.603,5.457,4.518,5.457,8.16,5.38,7.326,7.326,8.91,5.38,5.383,9.129,6.692,5.38,6.788,6.788,8.856,5.38,4.825,4.945,9.306,0.0,0,0,0,0,0,0,0
P51,8.058,5.963,4.746,4.95,3.966,5.598,2.898,10.122,4.819,9.309,6.938,6.887,5.383,7.024,5.383,6.596,7.641,5.957,4.205,4.852,3.932,8.036,4.593,9.532,5.909,2.433,5.988,7.603,5.457,4.518,5.457,8.16,5.38,7.326,7.326,8.91,5.38,5.383,9.129,6.692,5.38,6.788,6.788,8.856,5.38,4.825,4.945,9.306,0.0,0,0,0,0,0,0,0
P52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
